method,n_rows,feasible_rate,selector_accept_rate,fv_score_mean,fidelity_score_mean,variety_score_mean,relevance_score_mean,safe_balance_score_mean,template_usage_entropy,top_template_concentration,safe_radius_ratio_mean,gamma_used_mean,z_displacement_norm_mean,transport_error_logeuc_mean,post_bridge_reject_count,aug_valid_rate,pre_filter_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_bridge_fail,reject_reason_transport_error
csta_fv_filter_top5,21,1.0,0.10000000000000002,1.2245200367535376,0.9264186490750629,0.5962027753569495,0.4301044864512086,0.4963141626238542,2.2196008497504183,0.16023478835978833,0.1753250531823688,0.09943245465877652,0.09943245460311416,0.7712378009400089,0.0,1.0,0.0,0.0,0.0,0.0,0.0
csta_fv_score_top5,21,1.0,0.10000000000000002,1.6275163217513888,1.3074466725577771,0.6401392983872236,0.6376227143664848,0.6698239581912925,2.047123089353449,0.24447475749559083,0.17532505371308685,0.09943245465861372,0.09943245495013928,0.771351694441814,0.0,1.0,0.0,0.0,0.0,0.0,0.0
csta_random_feasible_selector,21,1.0,0.10000000000000002,1.2245200367535376,0.9264186490750629,0.5962027753569495,0.4301044864512086,0.4963141626238542,2.2196008497504183,0.16023478835978833,0.1753250531823688,0.09943245465877652,0.09943245460311416,0.7712378009400089,0.0,1.0,0.0,0.0,0.0,0.0,0.0
csta_topk_uniform_top5,21,1.0,1.0,,,,,,2.1186163263683433,0.1950837742504409,0.17532505320550726,0.09943245465901504,0.09943245460757173,0.7712347352606244,0.0,1.0,0.0,0.0,0.0,0.0,0.0
