dataset,seed,model_type,window_len,hop_len,test_acc,test_macro_f1,val_macro_f1,best_epoch,raw_minirocket_test_macro_f1
natops,1,static_linear,28,5,0.55,0.5478483158306634,0.6912698412698411,3,0.7170628040311606
natops,1,dynamic_meanpool,28,5,0.6111111111111112,0.6126888736796862,0.716498778998779,3,0.7170628040311606
natops,1,dynamic_gru,28,5,0.7666666666666667,0.7572111428924555,0.8385022385022385,3,0.7170628040311606
selfregulationscp1,1,static_linear,179,90,0.4948805460750853,0.4947334079045489,0.6097670250896057,3,0.6792310680525963
selfregulationscp1,1,dynamic_meanpool,179,90,0.45733788395904434,0.4552820812627887,0.5093314434207418,3,0.6792310680525963
selfregulationscp1,1,dynamic_gru,179,90,0.5665529010238908,0.5658246310016919,0.5656159177285938,3,0.6792310680525963
