dataset,static_manifold_macro_f1_mean,static_manifold_macro_f1_std,static_manifold_macro_f1,dynamic_meanpool_macro_f1_mean,dynamic_meanpool_macro_f1_std,dynamic_meanpool_macro_f1,dynamic_gru_macro_f1_mean,dynamic_gru_macro_f1_std,dynamic_gru_macro_f1,raw_minirocket_macro_f1_mean,raw_minirocket_macro_f1_std,raw_minirocket_macro_f1,best_model
natops,0.5478483158306634,0.0,0.5478 +/- 0.0000,0.6126888736796862,0.0,0.6127 +/- 0.0000,0.7572111428924555,0.0,0.7572 +/- 0.0000,0.7170628040311606,0.0,0.7171 +/- 0.0000,dynamic_gru
selfregulationscp1,0.4947334079045489,0.0,0.4947 +/- 0.0000,0.4552820812627887,0.0,0.4553 +/- 0.0000,0.5658246310016919,0.0,0.5658 +/- 0.0000,0.6792310680525963,0.0,0.6792 +/- 0.0000,dynamic_gru
