dataset,pipeline,algo,model,n,base_f1_mean,base_f1_std,act_f1_mean,act_f1_std,gain_mean,gain_std,gain_pos_rate,f1_gain_pct_mean,feedback_weight_mean,feedback_weight_std_mean,wavelet_level_eff,cA_identity_bridge_error_mean,idwt_identity_recon_error_mean,cA_transport_error_logeuc_mean,step_tier_count,aug_total_count_mean
atrialfibrillation,wavelet_mba,lraes,resnet1d,3,0.21794871794871792,0.08882311833686551,0.28288378288378285,0.03258770250670717,0.06493506493506493,0.10883954273071102,0.6666666666666666,44.379592061268276,0.8408240350032293,0.17934030301307533,2,4.4272576567483875e-09,9.878588710114482e-10,0.009646052328178533,3,36.0
heartbeat,wavelet_mba,lraes,resnet1d,3,0.6560309797051506,0.004761744194485327,0.6651908980562291,0.022183785820088547,0.0091599183510786,0.01952195141707943,0.6666666666666666,1.3894733269137065,0.7746992508616973,0.24272303949446772,2,3.807334149812879e-09,8.581652923220494e-10,9.440912837469993,3,489.0
natops,wavelet_mba,lraes,resnet1d,3,0.9144779916104019,0.01319584305044435,0.9203795721260432,0.027644098063616073,0.005901580515641301,0.03294675750842538,0.6666666666666666,0.6654616933782953,0.892160170051203,0.19401912504813223,2,3.385786993168217e-08,4.6851967050623454e-09,5.7558945207529035,3,432.0
