dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,wavelet_name,wavelet_level,wavelet_level_eff,cA_length,cD_frozen_count,wavelet_recon_error_mean,cA_identity_bridge_error_mean,idwt_identity_recon_error_mean,cA_transport_error_fro_mean,cA_transport_error_logeuc_mean,step_tier_count,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
atrialfibrillation,1,success,lraes,resnet1d,wavelet_mba,0.1666666666666666,0.3205128205128205,0.1538461538461538,92.30763692311018,15,15,0.1666666666666666,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999945,1.0983629036533549,0.0,0.0,36,36,10,9,db4,auto,2,165,2,2.0137820097536843e-17,4.474557535705377e-09,1.0124480022253515e-09,0.0001288387521815,0.0087024869263806,3,0.8218910734134691,0.1952952069448071,0.0304014477878808,0.0293149258941411,4.033447742462158
atrialfibrillation,2,success,lraes,resnet1d,wavelet_mba,0.3205128205128205,0.264069264069264,-0.0564435564435564,-17.610384115949774,15,15,0.5555555555555555,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999945,1.0503525640763844,0.0,0.0,36,36,10,9,db4,auto,2,165,2,1.960516872261189e-17,4.557308940848068e-09,9.86486838470797e-10,0.0001261468797465,0.0103486014566966,3,0.8250998017964539,0.1794526993261963,0.0352385453879833,0.0331675074994564,3.9025683403015137
atrialfibrillation,3,success,lraes,resnet1d,wavelet_mba,0.1666666666666666,0.264069264069264,0.0974025974025974,58.44152337664442,15,15,0.2222222222222222,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999945,0.8483650835112782,0.0,0.0,36,36,10,9,db4,auto,2,165,2,1.841283573580148e-17,4.249906493691716e-09,9.646417723381961e-10,0.0001289916374221,0.0098870686014584,3,0.8754812297997652,0.1632730027682225,0.0137941502034664,0.0135436560958623,4.8246026039123535
heartbeat,1,success,lraes,resnet1d,wavelet_mba,0.6578565761033134,0.6518632445768848,-0.0059933315264285,-0.9110390977452562,15,15,0.7280766396462786,0.6893939393939394,0.0,0.0,0.0,0.0,0.5499999999944999,5.193140919801621,0.0,0.0,489,489,10,6,db4,auto,2,106,2,1.536763427949491e-17,3.191074895182693e-09,7.039060785105702e-10,0.0007033598912218,9.440140170478454,3,0.7740881470920107,0.2511835380208341,0.2117283542950948,0.0961249868075053,3.575396140416464
heartbeat,2,success,lraes,resnet1d,wavelet_mba,0.6506265664160401,0.6529100529100529,0.0022834864940127,0.3509672461768747,15,15,0.6232247284878863,0.5858585858585859,0.0,0.0,0.0,0.0,0.5499999999944999,4.897586582816648,0.0,0.0,489,489,10,6,db4,auto,2,106,2,1.4468728609363633e-17,4.271076905671993e-09,9.737855228195623e-10,0.0007028831115177,9.478661582733585,3,0.7779825296343511,0.2373160080827983,0.1581852535406748,0.0860894992947578,3.293840169906616
heartbeat,3,success,lraes,resnet1d,wavelet_mba,0.659609796596098,0.6907993966817496,0.0311896000856516,4.728491832309501,15,15,0.632051282051282,0.7152777777777778,0.0,0.0,0.0,0.0,0.5499999999944999,5.36046266831371,0.0,0.0,489,489,10,6,db4,auto,2,106,2,1.5514971273705853e-17,3.959850648583951e-09,8.968042756360155e-10,0.0007031056069238,9.403936759197938,3,0.7720270758587301,0.2396695723797707,0.1606952622532844,0.0801965122421582,3.204444249471029
natops,1,success,lraes,resnet1d,wavelet_mba,0.915756767959447,0.8886849689608911,-0.0270717989985559,-2.956221235760885,15,15,0.972027972027972,0.918181818181818,0.0,0.0,0.0,0.0,0.5499999999944999,8.620075367865658,0.0,0.0,432,432,10,10,db4,auto,2,18,2,1.3884415902139642e-16,3.381631421281793e-08,4.772586822475526e-09,0.00044910499604,5.757881448093754,3,0.8944688096301737,0.1970587310859878,0.0865285775313774,0.0377843299259742,5.074610233306885
natops,2,success,lraes,resnet1d,wavelet_mba,0.900689313641415,0.939510964968537,0.038821651327122,4.310215124009195,15,15,0.972027972027972,1.0,0.0,0.0,0.0,0.0,0.5499999999944999,8.55287210924561,0.0,0.0,432,432,10,10,db4,auto,2,18,2,1.3931388231104186e-16,3.386008983417887e-08,4.523819050661276e-09,0.0004484688723476,5.753245590094294,3,0.8868548845348414,0.1967849047563656,0.0282514424373706,0.036439100280404,5.277703921000163
natops,3,success,lraes,resnet1d,wavelet_mba,0.9269878932303436,0.9329427824487014,0.0059548892183578,0.6423911918865753,15,15,0.9155844155844156,0.972027972027972,0.0,0.0,0.0,0.0,0.5499999999944999,8.523012797986196,0.0,0.0,432,432,10,10,db4,auto,2,18,2,1.386779426459054e-16,3.3897205748049714e-08,4.759184242050233e-09,0.0004482537889991,5.756556524070662,3,0.8951568159885938,0.1882137393020433,0.2598245268066724,0.0464696499208609,5.021704355875651
