dataset,tier_label,tier_ratio,n,safe_radius_ratio_mean,gamma_used_mean,cA_transport_error_logeuc_mean,cA_transport_error_fro_mean
atrialfibrillation,edge,0.9,36,0.899999999991,0.09,0.009639926140251947,0.00012877381675976388
atrialfibrillation,mid,0.5,36,0.49999999999499994,0.05,0.009647416936700702,0.00012777865868733335
atrialfibrillation,small,0.25,36,0.24999999999749997,0.025,0.009650813907582925,0.0001274247939029889
heartbeat,edge,0.9,489,0.899999999991,0.09,9.441019602231561,0.0007033177785485178
heartbeat,mid,0.5,489,0.499999999995,0.05,9.440896333296312,0.0007030628680384117
heartbeat,small,0.25,489,0.2499999999975,0.025,9.440822576882102,0.0007029679630763147
natops,edge,0.9,432,0.899999999991,0.08999999999999998,5.755966755752403,0.00045769885389314557
natops,mid,0.5,432,0.499999999995,0.05,5.7558732035825395,0.00044595774803694394
natops,small,0.25,432,0.2499999999975,0.025,5.755843602923769,0.0004421710554566389
