dataset,csta_aug_f1,csta_aug_f1_std,csta_base_f1,csta_gain,csta_elapsed_sec,wdba_aug_f1,wdba_aug_f1_std,wdba_base_f1,wdba_gain,wdba_elapsed_sec,delta_aug_f1,delta_gain,result
handwriting,0.4680564886832321,0.0114260326867794,0.4001000176877763,0.0679564709954557,7.126068431670622,0.4032734535601602,0.0401134152029454,0.4001000176877763,0.0031734358723839,27.06854114299252,0.06478303512307187,0.06478303512307179,win
uwavegesturelibrary,0.7900257724292011,0.0212703806609866,0.7093520964994625,0.0806736759297386,6.807633965664233,0.7407423894473163,0.0739066937001824,0.7093520964994625,0.0313902929478538,52.60321717167972,0.04928338298188484,0.0492833829818848,win
ering,0.8205151780046046,0.0562332841332815,0.7469214078445964,0.073593770160008,5.260462202325773,0.7726425828702798,0.0858502086173995,0.7469214078445964,0.0257211750256832,3.0344063933589496,0.04787259513432485,0.04787259513432479,win
motorimagery,0.4486584126953809,0.0673250961794509,0.436153208624094,0.0125052040712868,90.29088272167913,0.408425344758768,0.0348737614580022,0.436153208624094,-0.0277278638653259,23318.423478084693,0.04023306793661291,0.0402330679366127,win
natops,0.9608696404345388,0.0057112854492729,0.9216425322831762,0.0392271081513625,8.298198898672126,0.9471451759840152,0.0116362874855057,0.9216425322831762,0.0255026437008389,8.240151863991438,0.013724464450523666,0.013724464450523603,win
epilepsy,0.971494330885224,0.0004958398109402,0.9584462387451697,0.0130480921400542,8.045173600995136,0.9586103624081828,0.0119812371593414,0.9584462387451697,0.000164123663013,32.58199057935659,0.012883968477041208,0.012883968477041199,win
articularywordrecognition,0.9797708481534568,0.0060621594479043,0.9631069387938952,0.0166639093595615,10.948779156334544,0.9708562304040566,0.0084517038282473,0.9631069387938952,0.0077492916101612,32.31808580432941,0.008914617749400278,0.008914617749400298,win
har,0.9553691732491746,0.0039479496676899,0.9348949434714856,0.0204742297776889,178.2145220916524,0.9516529298591496,0.0079774140781709,0.9348949434714856,0.016757986387664,502.4572401106707,0.0037162433900249647,0.003716243390024899,win
japanesevowels,0.978534133307408,0.0069528804284001,0.9661509590323788,0.012383174275029,11.42729094067666,0.9748549646117772,0.0076828072726623,0.9661509590323788,0.0087040055793982,20.0098824230178,0.0036791686956307856,0.0036791686956307995,win
pendigits,0.9852420447660474,0.0037624108269423,0.9830244122278085,0.0022176325382391,136.67693399001533,0.9840855520562092,0.0046140251060162,0.9830244122278085,0.0010611398284007,232.30852280634767,0.0011564927098381972,0.0011564927098384001,win
basicmotions,1.0,0.0,1.0,0.0,5.608003688335884,1.0,0.0,1.0,0.0,9.84165733330883,0.0,0.0,tie
cricket,0.9813843563843564,0.0161216934203455,0.9906759906759908,-0.0092916342916343,14.206290227652062,0.9860139860139862,0.0,0.9906759906759908,-0.0046620046620045,676.5565892926921,-0.004629629629629761,-0.0046296296296298,loss
racketsports,0.8877814485757538,0.0074579310922737,0.8696074996720241,0.0181739489037295,7.660428613676534,0.8968577312346774,0.0125818040564529,0.8696074996720241,0.027250231562653,10.589786911014622,-0.009076282658923573,-0.0090762826589235,loss
ethanolconcentration,0.2742129897004942,0.0293947225101318,0.279153695105428,-0.0049407054049337,25.915740369663883,0.2838204901117192,0.015985054244046,0.279153695105428,0.0046667950062912,2612.9349115136624,-0.009607500411225045,-0.0096075004112249,loss
libras,0.8674927711586049,0.0575100211773805,0.5604970086490186,0.3069957625095863,7.186033322010189,0.8878378194299182,0.0330164038500301,0.5604970086490186,0.3273408107808996,9.71639406766432,-0.020345048271313337,-0.020345048271313282,loss
heartbeat,0.6554403285887614,0.0299921209974108,0.6530270182885037,0.0024133103002578,17.53703151198958,0.6762975616035242,0.0067280749716398,0.6530270182885037,0.0232705433150205,344.01184517133515,-0.02085723301476272,-0.0208572330147627,loss
fingermovements,0.5289125965573828,0.0194797752553893,0.4806203341936231,0.0482922623637597,10.274036559664331,0.5697561712437285,0.0100047736849831,0.4806203341936231,0.0891358370501053,13.773148727331622,-0.040843574686345696,-0.040843574686345606,loss
selfregulationscp2,0.4638288066312343,0.0438210470755216,0.4507405427011918,0.0130882639300425,17.419706892668426,0.5064348862751297,0.0641120469839792,0.4507405427011918,0.0556943435739378,508.4278201443376,-0.042606079643895345,-0.0426060796438953,loss
atrialfibrillation,0.2685425685425684,0.1028266871308932,0.2345432345432344,0.033999333999334,5.049047416328297,0.3112763779430446,0.0230898119714979,0.2345432345432344,0.07673314339981,24.02953548298683,-0.042733809400476164,-0.042733809400476,loss
handmovementdirection,0.2723931737766877,0.0312167724703149,0.2096912745680166,0.062701899208671,8.471327389357612,0.3694052883146541,0.0144465745822331,0.2096912745680166,0.1597140137466374,83.64515554367487,-0.09701211453796638,-0.0970121145379664,loss
