dataset,csta_aug_f1,wdba_aug_f1,delta_aug_f1,result,csta_elapsed_sec,wdba_elapsed_sec
handwriting,0.4680564886832321,0.4032734535601602,0.06478303512307187,win,7.126068431670622,27.06854114299252
uwavegesturelibrary,0.7900257724292011,0.7407423894473163,0.04928338298188484,win,6.807633965664233,52.60321717167972
ering,0.8205151780046046,0.7726425828702798,0.04787259513432485,win,5.260462202325773,3.0344063933589496
motorimagery,0.4486584126953809,0.408425344758768,0.04023306793661291,win,90.29088272167913,23318.423478084693
natops,0.9608696404345388,0.9471451759840152,0.013724464450523666,win,8.298198898672126,8.240151863991438
epilepsy,0.971494330885224,0.9586103624081828,0.012883968477041208,win,8.045173600995136,32.58199057935659
articularywordrecognition,0.9797708481534568,0.9708562304040566,0.008914617749400278,win,10.948779156334544,32.31808580432941
har,0.9553691732491746,0.9516529298591496,0.0037162433900249647,win,178.2145220916524,502.4572401106707
japanesevowels,0.978534133307408,0.9748549646117772,0.0036791686956307856,win,11.42729094067666,20.0098824230178
pendigits,0.9852420447660474,0.9840855520562092,0.0011564927098381972,win,136.67693399001533,232.30852280634767
basicmotions,1.0,1.0,0.0,tie,5.608003688335884,9.84165733330883
cricket,0.9813843563843564,0.9860139860139862,-0.004629629629629761,loss,14.206290227652062,676.5565892926921
racketsports,0.8877814485757538,0.8968577312346774,-0.009076282658923573,loss,7.660428613676534,10.589786911014622
ethanolconcentration,0.2742129897004942,0.2838204901117192,-0.009607500411225045,loss,25.915740369663883,2612.9349115136624
libras,0.8674927711586049,0.8878378194299182,-0.020345048271313337,loss,7.186033322010189,9.71639406766432
heartbeat,0.6554403285887614,0.6762975616035242,-0.02085723301476272,loss,17.53703151198958,344.01184517133515
fingermovements,0.5289125965573828,0.5697561712437285,-0.040843574686345696,loss,10.274036559664331,13.773148727331622
selfregulationscp2,0.4638288066312343,0.5064348862751297,-0.042606079643895345,loss,17.419706892668426,508.4278201443376
atrialfibrillation,0.2685425685425684,0.3112763779430446,-0.042733809400476164,loss,5.049047416328297,24.02953548298683
handmovementdirection,0.2723931737766877,0.3694052883146541,-0.09701211453796638,loss,8.471327389357612,83.64515554367487
