dataset,csta_top1_current,csta_group_template_top,no_aug,best_rawaug,dba_sameclass,wdba_sameclass,spawner_sameclass_style,random_cov_state,pca_cov_state,csta_top1_minus_best_rawaug,csta_top1_minus_dba,csta_top1_minus_wdba,csta_top1_minus_random_cov,csta_top1_minus_pca_cov
atrialfibrillation,0.17670847670847667,0.1291033585151232,0.23454323454323447,0.22962962962962963,0.2589506172839506,0.3112763779430446,0.1823361823361823,0.17222222222222217,0.11259666259666257,-0.05292115292115296,-0.08224214057547391,-0.1345679012345679,0.004486254486254504,0.0641118141118141
ering,0.837231988455564,0.7834727436167497,0.7469214078445964,0.7791352869792538,0.8338175766315175,0.7726425828702798,0.816630976766628,0.7878228568457231,0.8501776214953166,0.058096701476310186,0.0034144118240465593,0.06458940558528425,0.04940913160984095,-0.012945633039752602
handmovementdirection,0.2754524178509126,0.2688544678780615,0.20969127456801664,0.3181931937419931,0.35262496501639,0.36940528831465413,0.3455964052039886,0.2903481591789633,0.2976569238271552,-0.042740775891080496,-0.07717254716547739,-0.09395287046374151,-0.01489574132805066,-0.022204505976242572
handwriting,0.46049183816916345,0.476070456900701,0.4001000176877763,0.4846167604834049,0.38789929123753014,0.40327345356016026,0.4453235878703865,0.4643840351655004,0.4674405889172227,-0.02412492231424146,0.0725925469316333,0.05721838460900319,-0.003892196996336972,-0.006948750748059229
japanesevowels,0.97049413005379,0.9698710284725901,0.9661509590323788,0.979392579098389,0.9800850697535949,0.9748549646117772,0.9814956375323926,0.9839705286795409,0.9701810617784151,-0.00889844904459891,-0.009590939699804846,-0.004360834557987192,-0.013476398625750896,0.000313068275374917
natops,0.9607853534384795,0.9659304125637961,0.9216425322831762,0.962552462463421,0.9572815415000319,0.9471451759840152,0.9570973167060624,0.9535241013126406,0.9512742307142527,-0.0017671090249414823,0.0035038119384476207,0.01364017745446433,0.007261252125838835,0.009511122724226828
racketsports,0.8721055206171656,0.8922015072213133,0.8696074996720241,0.8887378023793523,0.872503601911864,0.8968577312346774,0.8972098246658815,0.8846388859417199,0.8798842950588853,-0.016632281762186674,-0.0003980812946984269,-0.02475221061751176,-0.01253336532455429,-0.007778774441719705
