dataset,no_aug,csta_top1_current,csta_group_template_top,best_phase1_global_method,best_phase1_global_mean_f1,best_phase1_global,best_phase2_global_method,best_phase2_global_mean_f1,best_phase2_global,best_external_dataset_method,best_external_dataset,manifold_mixup,manifold_mixup_minus_no_aug,manifold_mixup_minus_csta_top1,manifold_mixup_minus_best_phase2_global
atrialfibrillation,0.23454323454323447,0.17670847670847667,0.1291033585151232,dba_sameclass,0.6633089519049827,0.2589506172839506,wdba_sameclass,0.6679222249312298,0.3112763779430446,wdba_sameclass,0.3112763779430446,0.22753172753172748,-0.00701150701150699,0.050823250823250815,-0.0837446504113171
handwriting,0.4001000176877763,0.46049183816916345,0.476070456900701,dba_sameclass,0.6633089519049827,0.38789929123753014,wdba_sameclass,0.6679222249312298,0.40327345356016026,raw_aug_jitter,0.49712026897310563,0.3724243567633738,-0.02767566092440249,-0.08806748140578963,-0.030849096796786435
natops,0.9216425322831762,0.9607853534384795,0.9659304125637961,dba_sameclass,0.6633089519049827,0.9572815415000319,wdba_sameclass,0.6679222249312298,0.9471451759840152,best_rawaug,0.962552462463421,0.9309110459138289,0.00926851363065273,-0.02987430752465059,-0.01623413007018626
