dataset,n_train,n_test,C,T,n_classes,class_imbalance_ratio,baseline_f1,best_external_method,best_external_f1,csta_f1,csta_rank,csta_gain,regime_label
atrialfibrillation,12,15,2,640,3,1.0,0.23454323454323447,wdba_sameclass,0.3112763779430446,0.17670847670847667,11.0,-0.057834757834757805,
ering,24,270,4,65,6,1.0,0.7469214078445964,pca_cov_state,0.8501776214953166,0.837231988455564,2.0,0.09031058061096764,
handmovementdirection,128,74,10,400,4,1.2962962962962963,0.20969127456801664,wdba_sameclass,0.36940528831465413,0.2754524178509126,12.0,0.06576114328289598,
handwriting,120,850,3,152,26,1.962962962962963,0.4001000176877763,raw_aug_jitter,0.49712026897310563,0.46049183816916345,9.0,0.06039182048138714,
japanesevowels,216,370,12,26,9,2.185185185185185,0.9661509590323788,random_cov_state,0.9839705286795409,0.97049413005379,13.0,0.004343171021411241,
natops,144,180,24,51,6,1.0,0.9216425322831762,best_rawaug,0.962552462463421,0.9607853534384795,4.0,0.03914282115530332,
racketsports,120,152,6,30,4,1.2647058823529411,0.8696074996720241,raw_mixup,0.9065936439644634,0.8721055206171656,13.0,0.0024980209451415103,
