method,method_family,macro_f1_mean,macro_f1_std_over_datasets,gain_vs_no_aug_mean,negative_transfer_rate_dataset,negative_transfer_rate_seed,gap_vs_global_best_external,gap_vs_dataset_best_external,average_rank,win_count,budget_matched,source_space,label_mode,n_datasets,global_best_external,global_best_external_mean_f1
best_rawaug,raw_time,0.6631796735393491,0.3143254332430035,0.04194296987774869,0.14285714285714285,0.14285714285714285,-0.004742551391880623,-0.0341197824368718,5.5,0,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
raw_aug_jitter,raw_time,0.6616569891263591,0.30989375407020275,0.040420285464758655,0.0,0.23809523809523808,-0.006265235804870706,-0.035642466849861824,5.928571428571429,1,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
spawner_sameclass_style,dtw_pattern_mix,0.6608128472973602,0.3280044980262612,0.03957614363575985,0.14285714285714285,0.14285714285714285,-0.00710937763386954,-0.03648660867886063,6.285714285714286,0,True,dtw_pattern_mix,hard,7,wdba_sameclass,0.6679222249312298
dba_sameclass,dtw_barycenter,0.6633089519049827,0.3150352542826331,0.0420722482433823,0.14285714285714285,0.14285714285714285,-0.004613273026247033,-0.03399050407123818,6.428571428571429,0,True,dtw_barycenter,hard,7,wdba_sameclass,0.6679222249312298
raw_aug_timewarp,raw_time,0.6608610404012091,0.3143493976460003,0.0396243367396086,0.14285714285714285,0.19047619047619047,-0.007061184530020692,-0.03643841557501188,6.714285714285714,0,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
raw_aug_window_slicing,raw_time,0.6592485456870069,0.32658856595768415,0.038011842025406466,0.14285714285714285,0.23809523809523808,-0.00867367924422291,-0.03805091028921402,6.857142857142857,0,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
random_cov_state,covariance_state,0.6481301127637586,0.33410667043300374,0.026893409102158223,0.14285714285714285,0.19047619047619047,-0.01979211216747112,-0.04916934321246226,7.571428571428571,1,True,covariance_state,hard,7,wdba_sameclass,0.6679222249312298
wdba_sameclass,dtw_barycenter,0.6679222249312298,0.2949289678054737,0.046685521269629375,0.0,0.23809523809523808,0.0,-0.029377231044991108,7.714285714285714,2,True,dtw_barycenter,hard,7,wdba_sameclass,0.6679222249312298
csta_top1_current,covariance_template,0.6504671036133646,0.3376125186545971,0.029230399951764147,0.14285714285714285,0.23809523809523808,-0.017455121317865196,-0.046832352362856336,9.142857142857142,0,True,covariance_template,hard,7,wdba_sameclass,0.6679222249312298
csta_group_template_top,covariance_template,0.640786282166905,0.3475793696848288,0.019549578505304567,0.14285714285714285,0.2857142857142857,-0.02713594276432474,-0.05651317380931591,9.142857142857142,1,True,covariance_template,hard,7,wdba_sameclass,0.6679222249312298
pca_cov_state,covariance_state,0.6470301977697014,0.3493837752752051,0.02579349410810104,0.14285714285714285,0.2857142857142857,-0.02089202716152838,-0.050269258206519445,9.285714285714286,1,True,covariance_state,hard,7,wdba_sameclass,0.6679222249312298
raw_aug_magnitude_warping,raw_time,0.6451996854142933,0.3297655114575074,0.023962981752692927,0.14285714285714285,0.19047619047619047,-0.02272253951693648,-0.05209977056192756,10.0,0,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
raw_mixup,raw_mixup,0.6215713496243737,0.36576757144595734,0.0003346459627733199,0.2857142857142857,0.47619047619047616,-0.04635087530685611,-0.07572810635184715,10.571428571428571,1,True,raw_mixup,soft,7,wdba_sameclass,0.6679222249312298
raw_aug_window_warping,raw_time,0.6300960695469777,0.342950839801473,0.00885936588537724,0.2857142857142857,0.3333333333333333,-0.03782615538425205,-0.06720338642924324,11.285714285714286,0,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
raw_aug_scaling,raw_time,0.6274711300259364,0.34146474401130555,0.006234426364335882,0.42857142857142855,0.2857142857142857,-0.04045109490529342,-0.06982832595028461,12.428571428571429,0,True,raw_time,hard,7,wdba_sameclass,0.6679222249312298
raw_smote_flatten_balanced,flattened_raw,0.6228572366008869,0.32535743493463426,0.001620532939286474,0.14285714285714285,0.19047619047619047,-0.04506498833034289,-0.07444221937533402,14.071428571428571,0,False,flattened_raw,hard,7,wdba_sameclass,0.6679222249312298
no_aug,none,0.6212367036616004,0.33027693323288493,0.0,0.0,0.0,-0.046685521269629326,-0.07606275231462048,14.071428571428571,0,True,none,hard,7,wdba_sameclass,0.6679222249312298
