dataset,seed,class_id,class_size,n_aug_requested,with_replacement_count,true_fallback_count,fallback_reason,valid_dba_count,weights_entropy_mean,dtw_distance_mean,method_elapsed_sec,audit_detail_available
ering,2,1,4,40,40,,with_replacement_due_to_class_size,,,,2.487479021976469,False
ering,2,2,4,40,40,,with_replacement_due_to_class_size,,,,2.487479021976469,False
ering,2,3,4,40,40,,with_replacement_due_to_class_size,,,,2.487479021976469,False
ering,2,4,4,40,40,,with_replacement_due_to_class_size,,,,2.487479021976469,False
ering,2,5,4,40,40,,with_replacement_due_to_class_size,,,,2.487479021976469,False
ering,2,__all__,24,240,240,0.0,replacement_only_or_none,240.0,,,2.487479021976469,False
ering,3,0,4,40,40,,with_replacement_due_to_class_size,,,,2.509886193001876,False
ering,3,1,4,40,40,,with_replacement_due_to_class_size,,,,2.509886193001876,False
ering,3,2,4,40,40,,with_replacement_due_to_class_size,,,,2.509886193001876,False
ering,3,3,4,40,40,,with_replacement_due_to_class_size,,,,2.509886193001876,False
ering,3,4,4,40,40,,with_replacement_due_to_class_size,,,,2.509886193001876,False
ering,3,5,4,40,40,,with_replacement_due_to_class_size,,,,2.509886193001876,False
ering,3,__all__,24,240,240,0.0,replacement_only_or_none,240.0,,,2.509886193001876,False
handmovementdirection,1,0,32,320,0,,none,,,,64.74213037700974,False
handmovementdirection,1,1,32,320,0,,none,,,,64.74213037700974,False
handmovementdirection,1,2,32,320,0,,none,,,,64.74213037700974,False
handmovementdirection,1,3,32,320,0,,none,,,,64.74213037700974,False
handmovementdirection,1,__all__,128,1280,0,0.0,replacement_only_or_none,1280.0,,,64.74213037700974,False
handmovementdirection,2,0,32,320,0,,none,,,,64.67520116298692,False
handmovementdirection,2,1,32,320,0,,none,,,,64.67520116298692,False
handmovementdirection,2,2,32,320,0,,none,,,,64.67520116298692,False
handmovementdirection,2,3,32,320,0,,none,,,,64.67520116298692,False
handmovementdirection,2,__all__,128,1280,0,0.0,replacement_only_or_none,1280.0,,,64.67520116298692,False
handmovementdirection,3,0,32,320,0,,none,,,,63.31667042800109,False
handmovementdirection,3,1,32,320,0,,none,,,,63.31667042800109,False
handmovementdirection,3,2,32,320,0,,none,,,,63.31667042800109,False
handmovementdirection,3,3,32,320,0,,none,,,,63.31667042800109,False
handmovementdirection,3,__all__,128,1280,0,0.0,replacement_only_or_none,1280.0,,,63.31667042800109,False
handwriting,1,0,6,60,0,,none,,,,21.295515734003857,False
handwriting,1,1,5,50,0,,none,,,,21.295515734003857,False
handwriting,1,2,7,70,0,,none,,,,21.295515734003857,False
handwriting,1,3,3,30,30,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,4,4,40,40,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,5,7,70,0,,none,,,,21.295515734003857,False
handwriting,1,6,5,50,0,,none,,,,21.295515734003857,False
handwriting,1,7,2,20,20,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,8,2,20,20,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,9,6,60,0,,none,,,,21.295515734003857,False
handwriting,1,10,2,20,20,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,11,4,40,40,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,12,6,60,0,,none,,,,21.295515734003857,False
handwriting,1,13,3,30,30,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,14,6,60,0,,none,,,,21.295515734003857,False
handwriting,1,15,4,40,40,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,16,5,50,0,,none,,,,21.295515734003857,False
handwriting,1,17,5,50,0,,none,,,,21.295515734003857,False
handwriting,1,18,2,20,20,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,19,4,40,40,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,20,4,40,40,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,21,8,80,0,,none,,,,21.295515734003857,False
handwriting,1,22,3,30,30,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,23,3,30,30,,with_replacement_due_to_class_size,,,,21.295515734003857,False
handwriting,1,24,5,50,0,,none,,,,21.295515734003857,False
handwriting,1,25,9,90,0,,none,,,,21.295515734003857,False
handwriting,1,__all__,120,1200,400,0.0,replacement_only_or_none,1200.0,,,21.295515734003857,False
handwriting,2,0,6,60,0,,none,,,,20.664712695986964,False
handwriting,2,1,5,50,0,,none,,,,20.664712695986964,False
handwriting,2,2,7,70,0,,none,,,,20.664712695986964,False
handwriting,2,3,3,30,30,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,4,4,40,40,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,5,7,70,0,,none,,,,20.664712695986964,False
handwriting,2,6,5,50,0,,none,,,,20.664712695986964,False
handwriting,2,7,2,20,20,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,8,2,20,20,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,9,6,60,0,,none,,,,20.664712695986964,False
handwriting,2,10,2,20,20,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,11,4,40,40,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,12,6,60,0,,none,,,,20.664712695986964,False
handwriting,2,13,3,30,30,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,14,6,60,0,,none,,,,20.664712695986964,False
handwriting,2,15,4,40,40,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,16,5,50,0,,none,,,,20.664712695986964,False
handwriting,2,17,5,50,0,,none,,,,20.664712695986964,False
handwriting,2,18,2,20,20,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,19,4,40,40,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,20,4,40,40,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,21,8,80,0,,none,,,,20.664712695986964,False
handwriting,2,22,3,30,30,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,23,3,30,30,,with_replacement_due_to_class_size,,,,20.664712695986964,False
handwriting,2,24,5,50,0,,none,,,,20.664712695986964,False
handwriting,2,25,9,90,0,,none,,,,20.664712695986964,False
handwriting,2,__all__,120,1200,400,0.0,replacement_only_or_none,1200.0,,,20.664712695986964,False
handwriting,3,0,6,60,0,,none,,,,21.953796640009383,False
handwriting,3,1,5,50,0,,none,,,,21.953796640009383,False
handwriting,3,2,7,70,0,,none,,,,21.953796640009383,False
handwriting,3,3,3,30,30,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,4,4,40,40,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,5,7,70,0,,none,,,,21.953796640009383,False
handwriting,3,6,5,50,0,,none,,,,21.953796640009383,False
handwriting,3,7,2,20,20,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,8,2,20,20,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,9,6,60,0,,none,,,,21.953796640009383,False
handwriting,3,10,2,20,20,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,11,4,40,40,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,12,6,60,0,,none,,,,21.953796640009383,False
handwriting,3,13,3,30,30,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,14,6,60,0,,none,,,,21.953796640009383,False
handwriting,3,15,4,40,40,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,16,5,50,0,,none,,,,21.953796640009383,False
handwriting,3,17,5,50,0,,none,,,,21.953796640009383,False
handwriting,3,18,2,20,20,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,19,4,40,40,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,20,4,40,40,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,21,8,80,0,,none,,,,21.953796640009383,False
handwriting,3,22,3,30,30,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,23,3,30,30,,with_replacement_due_to_class_size,,,,21.953796640009383,False
handwriting,3,24,5,50,0,,none,,,,21.953796640009383,False
handwriting,3,25,9,90,0,,none,,,,21.953796640009383,False
handwriting,3,__all__,120,1200,400,0.0,replacement_only_or_none,1200.0,,,21.953796640009383,False
japanesevowels,1,0,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,1,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,2,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,3,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,4,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,5,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,6,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,7,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,8,24,240,0,,none,,,,16.04099405099987,False
japanesevowels,1,__all__,216,2160,0,0.0,replacement_only_or_none,2160.0,,,16.04099405099987,False
japanesevowels,2,0,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,1,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,2,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,3,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,4,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,5,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,6,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,7,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,8,24,240,0,,none,,,,18.442129864997696,False
japanesevowels,2,__all__,216,2160,0,0.0,replacement_only_or_none,2160.0,,,18.442129864997696,False
japanesevowels,3,0,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,1,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,2,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,3,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,4,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,5,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,6,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,7,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,8,24,240,0,,none,,,,17.9714351669827,False
japanesevowels,3,__all__,216,2160,0,0.0,replacement_only_or_none,2160.0,,,17.9714351669827,False
natops,1,0,24,240,0,,none,,,,8.509468092990573,False
natops,1,1,24,240,0,,none,,,,8.509468092990573,False
natops,1,2,24,240,0,,none,,,,8.509468092990573,False
natops,1,3,24,240,0,,none,,,,8.509468092990573,False
natops,1,4,24,240,0,,none,,,,8.509468092990573,False
natops,1,5,24,240,0,,none,,,,8.509468092990573,False
natops,1,__all__,144,1440,0,0.0,replacement_only_or_none,1440.0,,,8.509468092990573,False
natops,2,0,24,240,0,,none,,,,6.410875500005204,False
natops,2,1,24,240,0,,none,,,,6.410875500005204,False
natops,2,2,24,240,0,,none,,,,6.410875500005204,False
natops,2,3,24,240,0,,none,,,,6.410875500005204,False
natops,2,4,24,240,0,,none,,,,6.410875500005204,False
natops,2,5,24,240,0,,none,,,,6.410875500005204,False
natops,2,__all__,144,1440,0,0.0,replacement_only_or_none,1440.0,,,6.410875500005204,False
natops,3,0,24,240,0,,none,,,,8.181202634994406,False
natops,3,1,24,240,0,,none,,,,8.181202634994406,False
natops,3,2,24,240,0,,none,,,,8.181202634994406,False
natops,3,3,24,240,0,,none,,,,8.181202634994406,False
natops,3,4,24,240,0,,none,,,,8.181202634994406,False
natops,3,5,24,240,0,,none,,,,8.181202634994406,False
natops,3,__all__,144,1440,0,0.0,replacement_only_or_none,1440.0,,,8.181202634994406,False
racketsports,1,0,31,310,0,,none,,,,7.305071176000638,False
racketsports,1,1,34,340,0,,none,,,,7.305071176000638,False
racketsports,1,2,28,280,0,,none,,,,7.305071176000638,False
racketsports,1,3,27,270,0,,none,,,,7.305071176000638,False
racketsports,1,__all__,120,1200,0,0.0,replacement_only_or_none,1200.0,,,7.305071176000638,False
racketsports,2,0,31,310,0,,none,,,,8.567224355996586,False
racketsports,2,1,34,340,0,,none,,,,8.567224355996586,False
racketsports,2,2,28,280,0,,none,,,,8.567224355996586,False
racketsports,2,3,27,270,0,,none,,,,8.567224355996586,False
racketsports,2,__all__,120,1200,0,0.0,replacement_only_or_none,1200.0,,,8.567224355996586,False
racketsports,3,0,31,310,0,,none,,,,8.338186670007417,False
racketsports,3,1,34,340,0,,none,,,,8.338186670007417,False
racketsports,3,2,28,280,0,,none,,,,8.338186670007417,False
racketsports,3,3,27,270,0,,none,,,,8.338186670007417,False
racketsports,3,__all__,120,1200,0,0.0,replacement_only_or_none,1200.0,,,8.338186670007417,False
