dataset,label,prototype_geometry_mode,prob_tangent_version,rank_selection_mode,subproto_temperature,test_acc,test_macro_f1,final_acc,local_acc,final_override_rate,helpful_override_rate,harmful_override_rate,selected_rank_distribution,mean_selected_rank,k0_fallback_rate,lw_shrinkage_alpha_mean,ppca_sigma2_mean,posterior_confidence_mean,posterior_confidence_far_decay_mean,run_dir,E0_acc
cricket,center_only,center_only,v1,mdl,1.0,0.9861111111111112,0.9860139860139862,0.9861111111111112,1.0,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_cricket_seed1,0.9722222222222222
cricket,best_center_subproto,center_subproto,v1,mdl,1.0,0.9861111111111112,0.9860139860139862,0.9861111111111112,0.9861111111111112,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_cricket_seed1,0.9722222222222222
cricket,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.9861111111111112,0.9860139860139862,0.9861111111111112,0.4166666666666667,0.0,0.0,0.0,"{""0"": 48, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",1.3333333333333333,0.6666666666666666,0.2580350438753764,0.0011278047990496514,0.0,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_cricket_seed1,0.9722222222222222
handwriting,center_only,center_only,v1,mdl,1.0,0.5258823529411765,0.5145977412918605,0.5258823529411765,0.48,0.05764705882352941,0.0058823529411764705,0.01647058823529412,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_handwriting_seed1,0.591764705882353
handwriting,best_center_subproto,center_subproto,v1,mdl,0.1,0.5552941176470588,0.5253159777458815,0.5552941176470588,0.5094117647058823,0.0811764705882353,0.015294117647058824,0.015294117647058824,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_handwriting_seed1,0.591764705882353
handwriting,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.5541176470588235,0.5375770262131997,0.5541176470588235,0.2611764705882353,0.08352941176470588,0.02235294117647059,0.024705882352941175,"{""0"": 54, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 796}",3.7458823529411767,0.06352941176470588,0.7248137718789718,0.00316000087768316,4.567357697387063e-18,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_handwriting_seed1,0.591764705882353
ering,center_only,center_only,v1,mdl,1.0,0.8888888888888888,0.8888731280948114,0.8888888888888888,0.8629629629629629,0.003703703703703704,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_ering_seed1,0.8555555555555555
ering,best_center_subproto,center_subproto,v1,mdl,1.0,0.8925925925925926,0.892818485189295,0.8925925925925926,0.8592592592592593,0.011111111111111112,0.003703703703703704,0.007407407407407408,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_ering_seed1,0.8555555555555555
ering,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.8925925925925926,0.8920877224173157,0.8925925925925926,0.6407407407407407,0.0,0.0,0.0,"{""0"": 51, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 219}",3.2444444444444445,0.18888888888888888,0.627879101479495,0.0027454752227804927,2.9700654637788096e-15,0.999999999999997,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_ering_seed1,0.8555555555555555
motorimagery,center_only,center_only,v1,mdl,1.0,0.53,0.49304282170208175,0.53,0.53,0.02,0.02,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_motorimagery_seed1,0.5
motorimagery,best_center_subproto,center_subproto,v1,mdl,1.0,0.53,0.5083167695365624,0.53,0.51,0.01,0.0,0.01,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_motorimagery_seed1,0.5
motorimagery,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.57,0.562608076492727,0.57,0.58,0.01,0.01,0.0,"{""0"": 66, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 34}",1.36,0.66,0.26021303653717043,0.001110966121407273,6.733532618852919e-16,0.9999999999999993,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_motorimagery_seed1,0.5
ethanolconcentration,center_only,center_only,v1,mdl,1.0,0.30038022813688214,0.2558372812687551,0.30038022813688214,0.2813688212927757,0.053231939163498096,0.022813688212927757,0.011406844106463879,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_ethanolconcentration_seed1,0.27756653992395436
ethanolconcentration,best_center_subproto,center_subproto,v1,mdl,1.0,0.28517110266159695,0.26564325641995545,0.28517110266159695,0.26996197718631176,0.060836501901140684,0.019011406844106463,0.011406844106463879,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_ethanolconcentration_seed1,0.27756653992395436
ethanolconcentration,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.2965779467680608,0.24463975094935772,0.2965779467680608,0.2623574144486692,0.04182509505703422,0.015209125475285171,0.0,"{""0"": 72, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 191}",2.9049429657794676,0.2737642585551331,0.5506473419330873,0.0024320073555416026,6.281242606067354e-14,0.9999999999999373,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_ethanolconcentration_seed1,0.27756653992395436
