anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
14,handwriting_train_110,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,22,6.958893565269584e-05,0.00015429429641077589
14,handwriting_train_110,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,22,6.943003204869194e-05,0.00015280067130599376
14,handwriting_train_110,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,22,6.917024483570526e-05,0.0001506093230663718
15,handwriting_train_85,0.25,small,7,1.0,0.1,0.025,0.2499999999975,24,5.11408497600689e-05,0.000156741474322861
15,handwriting_train_85,0.5,mid,7,1.0,0.1,0.05,0.499999999995,24,5.117754406518631e-05,0.00015775206312002523
15,handwriting_train_85,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,24,5.1228936205557005e-05,0.00015969894851416492
16,handwriting_train_50,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,5,8.104315645155927e-05,0.00015718379900877698
16,handwriting_train_50,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,5,8.102072537333603e-05,0.00015863811000400052
16,handwriting_train_50,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,5,8.097795289456024e-05,0.0001613013652080603
17,handwriting_train_17,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,24,6.232798696560324e-05,0.00015718574089729196
17,handwriting_train_17,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,24,6.233696493136115e-05,0.00015864597944261714
17,handwriting_train_17,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,24,6.234287651750858e-05,0.00016132747638045197
18,handwriting_train_108,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,14,9.329459251813286e-05,0.00015718723318327703
18,handwriting_train_108,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,14,9.358853765732074e-05,0.00015865216196340602
18,handwriting_train_108,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,14,9.403558063599941e-05,0.00016134860915543629
19,handwriting_train_134,0.25,small,2,1.0,0.1,0.025,0.2499999999975,5,7.405052173398856e-05,0.00015730836575997547
19,handwriting_train_134,0.5,mid,2,1.0,0.1,0.05,0.499999999995,5,7.417172113593919e-05,0.00015887737796970038
19,handwriting_train_134,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,5,7.435569559681898e-05,0.00016169974032014602
20,handwriting_train_65,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,25,0.00035721185456117597,0.00015559435047622684
20,handwriting_train_65,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,25,0.0003561160343893581,0.0001555327436414641
20,handwriting_train_65,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,25,0.00035427283578289405,0.00015590309586579584
21,handwriting_train_138,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,6,7.913300764681262e-05,0.00015429691693482375
21,handwriting_train_138,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,6,7.889825707212718e-05,0.00015281116923012485
21,handwriting_train_138,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,6,7.850970886190967e-05,0.00015064340579649602
22,handwriting_train_59,0.25,small,9,1.0,0.1,0.025,0.2499999999975,5,6.620278028703544e-05,0.0001562028685614555
22,handwriting_train_59,0.5,mid,9,1.0,0.1,0.05,0.499999999995,5,6.636386726560067e-05,0.0001566837115385214
22,handwriting_train_59,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,5,6.661060780405024e-05,0.00015778235296228822
23,handwriting_train_128,0.25,small,9,1.0,0.1,0.025,0.2499999999975,9,5.869853322184213e-05,0.0001562015700866417
23,handwriting_train_128,0.5,mid,9,1.0,0.1,0.05,0.499999999995,9,5.860855273446617e-05,0.00015667855417662125
23,handwriting_train_128,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,9,5.845367228390187e-05,0.00015776600477832337
24,handwriting_train_70,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,9,6.310595606741222e-05,0.00015556921335573598
24,handwriting_train_70,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,9,6.302193883723974e-05,0.00015543307222758027
24,handwriting_train_70,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,9,6.288046992848262e-05,0.00015558477630978447
25,handwriting_train_39,0.25,small,0,1.0,0.1,0.025,0.2499999999975,11,0.00012141346159847214,0.00015795031435175604
25,handwriting_train_39,0.5,mid,0,1.0,0.1,0.05,0.499999999995,11,0.00012162694387445081,0.0001601185358596425
25,handwriting_train_39,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,11,0.00012196170612805211,0.00016380910136675345
26,handwriting_train_117,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,1,5.566128338595822e-05,0.00015573008252249651
26,handwriting_train_117,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,1,5.5519813730306995e-05,0.00015574046757556656
26,handwriting_train_117,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.5285881460359195e-05,0.00015610741665559745
27,handwriting_train_118,0.25,small,5,1.0,0.1,0.025,0.2499999999975,17,7.242704994111632e-05,0.00015637761769202638
27,handwriting_train_118,0.5,mid,5,1.0,0.1,0.05,0.499999999995,17,7.271028009811582e-05,0.0001570466864314017
27,handwriting_train_118,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,17,7.314567544305273e-05,0.00015848551378827512
28,handwriting_train_104,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,3,8.595169360809859e-05,0.000154604680311673
28,handwriting_train_104,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,3,8.566919351468578e-05,0.0001534670713592411
28,handwriting_train_104,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,3,8.519915988946356e-05,0.0001519318345822773
29,handwriting_train_100,0.25,small,4,1.0,0.1,0.025,0.2499999999975,18,0.00023157110381866883,0.00015759508763513118
29,handwriting_train_100,0.5,mid,4,1.0,0.1,0.05,0.499999999995,18,0.0002320950409881505,0.0001594492221373545
29,handwriting_train_100,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,18,0.0002328985061036976,0.00016271603632320132
30,handwriting_train_62,0.25,small,8,1.0,0.1,0.025,0.2499999999975,9,0.00010626103151478125,0.0001571691678095383
30,handwriting_train_62,0.5,mid,8,1.0,0.1,0.05,0.499999999995,9,0.00010643589796247744,0.00015859452733970792
30,handwriting_train_62,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,9,0.00010669767282318996,0.0001611735500068243
31,handwriting_train_106,0.25,small,1,1.0,0.1,0.025,0.2499999999975,17,9.97615326602721e-05,0.00015473639639205537
31,handwriting_train_106,0.5,mid,1,1.0,0.1,0.05,0.499999999995,17,9.988975448179043e-05,0.00015373521151685362
31,handwriting_train_106,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,17,0.00010008898718910842,0.00015242519502275037
32,handwriting_train_74,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,24,0.00016454580345999826,0.00015720779759090774
32,handwriting_train_74,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,24,0.00016474248283165484,0.00015873515883917574
32,handwriting_train_74,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,24,0.00016502178011035392,0.00016162149253493602
33,handwriting_train_60,0.25,small,6,1.0,0.1,0.025,0.2499999999975,3,9.243555616150013e-05,0.00015659249006445906
33,handwriting_train_60,0.5,mid,6,1.0,0.1,0.05,0.499999999995,3,9.221348060308163e-05,0.00015745644967262725
33,handwriting_train_60,0.9,edge,6,1.0,0.1,0.09000000000000001,0.899999999991,3,9.184600518260727e-05,0.0001591650193761406
34,handwriting_train_21,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,19,6.951560752016661e-05,0.00015512105003006425
34,handwriting_train_21,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,19,6.929159896881442e-05,0.00015449238142725068
34,handwriting_train_21,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,19,6.891865589410028e-05,0.00015375804178087963
35,handwriting_train_133,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,20,9.987618402676597e-05,0.00015512437460479678
35,handwriting_train_133,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,20,9.972939029492677e-05,0.0001545054940584026
