anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
138,natops_train_0,3,0,1,1.0,0.1,0.1,1.0,3.116367084942748,0.99999999999,6.232734169891729,lraes,lraes,lraes,0.0004457624018113867,0.906997560321181,1.1676073768683812,0.2973719403567875,5.123012542724609,0.9940772411146362
121,natops_train_1,2,0,9,-1.0,0.1,0.1,1.0,2.277368789568532,0.99999999999,4.554737579141619,lraes,lraes,lraes,0.00044075769269652553,4.54873069508111,1.2716581497097421,0.37285716357002713,5.841416358947754,0.9971036874164103
22,natops_train_10,5,0,0,1.0,0.1,0.1,1.0,3.68939525035967,0.99999999999,7.37879050072672,lraes,lraes,lraes,0.00044902432252659036,1.3232404547670824,1.2324563240774469,0.3832893464271071,5.911246299743652,0.9972985090274469
37,natops_train_100,5,0,0,-1.0,0.1,0.1,1.0,3.8524813929113866,0.99999999999,7.704962785830479,lraes,lraes,lraes,0.0004431790084156405,1.4661969627385965,1.393990340994695,0.5258915174555565,7.074814319610596,0.9991545657112747
143,natops_train_101,3,0,0,-1.0,0.1,0.1,1.0,2.792949072101968,0.99999999999,5.585898144209523,lraes,lraes,lraes,0.00044000958962023105,0.8014428762229114,1.2248804697347093,0.38196410199287856,4.492890357971191,0.9889355331634195
95,natops_train_102,1,0,4,1.0,0.1,0.1,0.9999999403953552,2.3882375952529222,0.99999999999,4.776474905810514,lraes,lraes,lraes,0.0004447719932139138,4.769029151337511,1.2701207876395075,0.3752254146022812,-0.7218843698501587,0.3269781668881721
4,natops_train_103,0,0,6,1.0,0.1,0.1,1.0,2.373890014111715,0.99999999999,4.747780028228179,lraes,lraes,lraes,0.0004494667852524379,4.344164097150792,1.4776477684630942,0.627979379977117,5.1225504875183105,0.9940745200603822
82,natops_train_104,1,0,4,1.0,0.1,0.1,0.9999999403953552,2.316107979665524,0.99999999999,4.632215683234093,lraes,lraes,lraes,0.00044387232053905525,4.6678151068024345,1.2081801200070685,0.3213234828668302,1.0602972507476807,0.7427473462087294
90,natops_train_105,1,0,8,1.0,0.1,0.1,1.0,1.8685916950471948,0.99999999999,3.737183390098127,lraes,lraes,lraes,0.00044829012273071156,4.773761324097864,1.2767574301423708,0.3819635974113983,1.4964842796325684,0.8170495334148578
88,natops_train_106,1,0,0,-1.0,0.1,0.1,1.0,2.7337434955332967,0.99999999999,5.467486991072061,lraes,lraes,lraes,0.000447746459244399,4.2024739070823145,1.5685953713443679,0.6794891392709693,0.03416132926940918,0.5085395018694969
79,natops_train_107,5,0,6,-1.0,0.1,0.1,1.0,4.377186584315057,0.99999999999,8.75437316863887,lraes,lraes,lraes,0.00044483091227092407,1.2084045903411895,1.2085819345407738,0.3462599549936585,7.31821346282959,0.9993370934905829
71,natops_train_11,0,0,5,-1.0,0.1,0.1,1.0,2.5023909242782065,0.99999999999,5.004781848561418,lraes,lraes,lraes,0.0004459213424530398,4.547049150337065,1.3579969997169619,0.48908333753114996,6.597893238067627,0.9986386188549646
72,natops_train_110,2,0,3,1.0,0.1,0.1,1.0,3.1399303381089525,0.99999999999,6.279860676224185,lraes,lraes,lraes,0.00044978528455180065,4.23903991690735,1.3093020429524653,0.46171466389126475,4.568910598754883,0.9897371680283374
114,natops_train_112,0,0,2,-1.0,0.1,0.1,1.0,2.6223533855690566,0.99999999999,5.244706771143359,lraes,lraes,lraes,0.0004438232019528346,3.831134071873331,1.286031293001875,0.4680216354016103,5.973863124847412,0.9974620644054251
31,natops_train_113,2,0,1,1.0,0.1,0.1,1.0,1.961235473472027,0.99999999999,3.9224709469479766,lraes,lraes,lraes,0.00044788957725597743,5.223791685567624,1.3064689000412455,0.4261818892665829,4.9004693031311035,0.9926119010929976
129,natops_train_114,4,0,9,-1.0,0.1,0.1,1.0,2.749432165144368,0.99999999999,5.498864330294236,lraes,lraes,lraes,0.0004405213596641588,1.1179438560187067,1.2293118859790746,0.3668095945649314,6.1091694831848145,0.9977825323072298
67,natops_train_115,4,0,1,1.0,0.1,0.1,1.0,3.2507766900013557,0.99999999999,6.501553380009214,lraes,lraes,lraes,0.00044667650869848515,1.1991396003568489,1.199720525916553,0.35550875229765705,4.457244396209717,0.9885386178240736
83,natops_train_116,4,0,8,1.0,0.1,0.1,1.0,3.4088177450174215,0.99999999999,6.817635490041662,lraes,lraes,lraes,0.000447357482680191,1.2012133626087742,1.1634447260103558,0.31491126339148934,6.374612331390381,0.9982986192660236
19,natops_train_117,3,0,4,1.0,0.1,0.1,0.9999999403953552,3.032380516711636,0.99999999999,6.06476067194141,lraes,lraes,lraes,0.00044430744733969536,1.1379701116624483,1.1985643992331325,0.34581659329037,2.3222084045410156,0.910699703799826
92,natops_train_119,5,0,1,-1.0,0.1,0.1,1.0,3.9278928963524558,0.99999999999,7.855785792712768,lraes,lraes,lraes,0.00044248099261623593,1.9570677289573533,1.2865703754708904,0.4124388762806128,5.766283988952637,0.9968784027484321
39,natops_train_12,3,0,9,-1.0,0.1,0.1,1.0,2.6910328822415917,0.99999999999,5.382065764488566,lraes,lraes,lraes,0.0004401182280503687,1.1202744324729856,1.2080801615554861,0.3457632140791616,4.127213001251221,0.9841282121489723
135,natops_train_120,2,0,3,-1.0,0.1,0.1,1.0,2.0409731424457935,0.99999999999,4.081946284895669,lraes,lraes,lraes,0.0004433149496935766,4.192219788722902,1.3780054156937311,0.5005065911326493,6.313168048858643,0.998190995692443
101,natops_train_121,0,0,6,1.0,0.1,0.1,1.0,2.5573565495885857,0.99999999999,5.1147130991822864,lraes,lraes,lraes,0.0004525763322832585,3.930519302852602,1.5799997999419304,0.7277877583373725,5.77189826965332,0.9968958249171095
58,natops_train_122,2,0,6,-1.0,0.1,0.1,1.0,2.068163973692665,0.99999999999,4.136327947389467,lraes,lraes,lraes,0.000448748222961902,4.84838450433468,1.409898407570429,0.5380027275415745,6.664405822753906,0.9987261105814927
43,natops_train_123,3,0,1,1.0,0.1,0.1,1.0,3.3252183340383237,0.99999999999,6.650436668083298,lraes,lraes,lraes,0.0004463657492479067,1.0352878665185439,1.172761080731456,0.33590065338124964,4.786459922790527,0.9917270759344873
93,natops_train_124,0,0,7,1.0,0.1,0.1,1.0,2.407786810603535,0.99999999999,4.815573621211886,lraes,lraes,lraes,0.0004460862995504372,4.130160508117888,1.1462880724068305,0.275044129787931,6.1211957931518555,0.9978089824634075
112,natops_train_126,1,0,7,-1.0,0.1,0.1,1.0,2.1982113216123587,0.99999999999,4.396422643229114,lraes,lraes,lraes,0.0004412721108337484,4.188141691135409,1.2842934824319714,0.3827474753091455,3.5901083946228027,0.9731457140515978
136,natops_train_127,0,0,4,-1.0,0.1,0.1,0.9999999403953552,2.4469554556687747,0.99999999999,4.893910619642622,lraes,lraes,lraes,0.00044313725029730076,4.809527614110721,1.190377166695427,0.3236321843314565,5.084717750549316,0.9938474540144394
94,natops_train_128,5,0,9,-1.0,0.1,0.1,1.0,3.693990424612807,0.99999999999,7.387980849233003,lraes,lraes,lraes,0.00043947827493584366,1.457279656070497,1.1977330013806398,0.30345738444708287,5.915621280670166,0.9973102704623018
46,natops_train_129,3,0,7,-1.0,0.1,0.1,1.0,2.9581685931929753,0.99999999999,5.916337186391868,lraes,lraes,lraes,0.00044008332597515553,0.9229733730586983,1.1593597416539418,0.31540213988690163,4.354780197143555,0.9873176454761688
16,natops_train_13,5,0,2,-1.0,0.1,0.1,1.0,3.7117042490637657,0.99999999999,7.423408498134956,lraes,lraes,lraes,0.0004407316699129328,1.2982272338796343,1.1846730678523247,0.30437610762194467,5.952910900115967,0.9974084672855519
76,natops_train_130,0,0,7,-1.0,0.1,0.1,1.0,2.7653946651336465,0.99999999999,5.530789330272825,lraes,lraes,lraes,0.00043983353767350873,3.6610770074332475,1.1676440863516244,0.28993311025064,9.70201301574707,0.999938843485851
85,natops_train_131,1,0,3,1.0,0.1,0.1,1.0,2.2482933316130747,0.99999999999,4.496586663230646,lraes,lraes,lraes,0.0004506200081777667,5.171005415428888,1.3615309121240553,0.49956158966739755,3.373119831085205,0.9668538197380989
81,natops_train_132,4,0,1,1.0,0.1,0.1,1.0,2.9861502117917786,0.99999999999,5.97230042358953,lraes,lraes,lraes,0.00044735721045668583,1.2132255536460324,1.2644127936488836,0.3942228632698259,7.100284576416016,0.9991758096987076
28,natops_train_134,5,0,0,-1.0,0.1,0.1,1.0,3.4459131612926015,0.99999999999,6.891826322592095,lraes,lraes,lraes,0.000438946103445103,1.1533513822354213,1.185431622499026,0.3233765281144192,6.227639198303223,0.998029782545225
25,natops_train_135,0,0,7,1.0,0.1,0.1,1.0,2.7226459056736916,0.99999999999,5.445291811352829,lraes,lraes,lraes,0.00044571542649434,4.6140982951486,1.1373319812589242,0.25842013978265954,7.744045257568359,0.9995668725272163
142,natops_train_136,5,0,7,-1.0,0.1,0.1,1.0,4.253625107531223,0.99999999999,8.507250215070954,lraes,lraes,lraes,0.0004408000310653168,1.8223259868678336,1.2269695400336094,0.35807993748106337,6.165905475616455,0.9979045838176025
64,natops_train_139,1,0,8,-1.0,0.1,0.1,1.0,2.4914598171669224,0.99999999999,4.9829196343388285,lraes,lraes,lraes,0.0004397915666984065,4.371855627817655,1.2103725386318247,0.33586793421728506,-0.2066401243209839,0.4485230115822276
