dataset,seed,arm,fit_window_count,fit_trial_count,operator_norm_mean,operator_norm_p95,operator_to_step_ratio_mean,local_step_distortion_ratio_mean,local_step_distortion_ratio_p95,operator_direction_stability,response_vs_margin_correlation,activation_coverage_ratio,preactivation_clip_rate,response_centering_std_after_fix,gate_saturation_ratio,geometry_coupling_mean,geometry_coupling_abs_mean,budget_scale_factor,applied_window_count_total,fit_mode,fit_target_mode,target_mode,response_stats_mode,template_count,template_readout_mode,weight_kernel_name,template_mean_direction_cosine,effective_sample_size,effective_sample_ratio,same_opp_count_ratio,same_opp_weight_mass_ratio
selfregulationscp1,1,c0_unweighted_a2r,64,9,0.003801633914823346,0.009914443734048768,0.07602558820663796,1.0005218877933821,1.0047853505685436,0.9999999999989996,0.2953404678536879,0.3386312742367142,0.1211177811210582,1.0630905617237918,0.08748802129106897,0.0,0.0,1.3649818413067778,402798,unweighted,auto_associative,,fit_pool,1,mean_committee,identity,-0.02122246359049118,64.0,1.0,0.0,0.0
selfregulationscp1,1,c3lr_r1_global_a2r,128,9,0.003870304303130794,0.010466402899234672,0.07644794119850151,1.0006561815502146,1.0046016757158684,0.9999999999990002,0.14857748405173224,0.2573150810083466,0.017187275011295983,0.9344334410842342,0.061465051961529106,0.0,0.0,1.5196986678647966,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.0,86.53870660559153,0.6760836453561838,1.0,0.9999999999999999
selfregulationscp1,1,b3_r1_continuous_geom,128,9,0.003909687455529716,0.013552533939347093,0.07841065230348412,1.0005358558848816,1.0058753612511093,0.9762761345313267,0.14857748405173224,0.2573150810083466,0.017187275011295983,0.9344334410842342,0.061465051961529106,0.012871202976644019,0.4345957744326293,3.523434854664563,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.0,86.53870660559153,0.6760836453561838,1.0,0.9999999999999999
selfregulationscp1,1,c3lr_r4_global_a2r,128,9,0.003772179647447313,0.01023632314885577,0.0756639243042951,1.0005000023268351,1.003942167370968,0.9999999999990002,0.1933175051085022,0.21292806816319843,0.01689432420220557,0.8246122715147151,0.03542470419416184,0.0,0.0,1.6056464971314874,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,2.7755575615628914e-17,86.53870660559153,0.6760836453561838,1.0,0.9999999999999999
selfregulationscp1,1,b3_r4_continuous_geom,128,9,0.003638500029572068,0.01156464970740014,0.07399337339348318,1.0004219208134,1.0044736873798903,0.9851318835591639,0.1933175051085022,0.21292806816319843,0.01689432420220557,0.8246122715147151,0.03542470419416184,0.008363290119588591,0.6110959729094086,2.595204958404086,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,2.7755575615628914e-17,86.53870660559153,0.6760836453561838,1.0,0.9999999999999999
selfregulationscp1,2,c0_unweighted_a2r,64,10,0.003752718056069631,0.010428277985625331,0.07463916124534474,1.0005245619824572,1.0048933994698985,0.9999999999990002,-0.22181706679023855,0.13988152870669665,0.18283606174807224,0.667936608040647,0.007711061127413741,0.0,0.0,1.7732668570150074,402798,unweighted,auto_associative,,fit_pool,1,mean_committee,identity,0.24430149316054184,64.0,1.0,0.0,0.0
selfregulationscp1,2,c3lr_r1_global_a2r,128,10,0.003788174047191967,0.010595384746286634,0.07500767272875992,1.000399735278557,1.0044506416385695,0.9999999999989996,0.16382846863734504,0.20584263079757098,0.022974294807819304,0.8208078806283778,0.03705082944801116,0.0,0.0,1.6204802985722828,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.0,84.87006128174026,0.6630473537635958,1.0,0.9999999999999999
selfregulationscp1,2,b3_r1_continuous_geom,128,10,0.0037486424247842967,0.010742987569546909,0.07431110901946053,1.0003378112952528,1.004493240619326,0.9881121963628375,0.16382846863734504,0.20584263079757098,0.022974294807819304,0.8208078806283778,0.03705082944801116,-0.002471349213832377,0.7894092589101125,2.032781102228188,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.0,84.87006128174026,0.6630473537635958,1.0,0.9999999999999999
selfregulationscp1,2,c3lr_r4_global_a2r,128,10,0.003719664734377049,0.010316871170143781,0.07417153135442717,1.0004278488873102,1.004350392920143,0.9999999999989996,0.10521055037858033,0.19776662247578192,0.024650072741175477,0.7942668052636784,0.029861121455419342,0.0,0.0,1.6155162002124759,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-4.163336342344337e-17,84.87006128174026,0.6630473537635958,1.0,0.9999999999999999
selfregulationscp1,2,b3_r4_continuous_geom,128,10,0.0037334637260290717,0.013281764595488863,0.07247899650440622,1.0004188472126052,1.0050215596159005,0.9827320788834019,0.10521055037858033,0.19776662247578192,0.024650072741175477,0.7942668052636784,0.029861121455419342,0.010861315852531651,0.474943660466884,3.2890710901622944,402798,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-4.163336342344337e-17,84.87006128174026,0.6630473537635958,1.0,0.9999999999999999
