anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
0,handwriting_train_108,0.25,small,5,1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,14,9.263597729769675e-05,0.0001546325489678502,0.0024232448872330025,0.0001550740513106075,0.0012579404322653497
0,handwriting_train_108,0.5,mid,5,1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,14,9.227047992620248e-05,0.00015352217759723825,0.002423174740749279,0.00015428335525150507,0.0012577226103377406
0,handwriting_train_108,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,14,9.165947064442205e-05,0.00015202511780303932,0.002423024634985326,0.00015305915412067126,0.0012573420528148738
1,handwriting_train_95,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,6.702049060273618e-05,0.0001573586091698501,0.000607850443522258,0.0001567158241404621,0.0003374354670624971
1,handwriting_train_95,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,5,6.713820023583851e-05,0.0001589669121883343,0.0006084570463906081,0.00015756865682617696,0.00033779762331322333
1,handwriting_train_95,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,6.731571326546468e-05,0.0001618286180066222,0.0006094143236480666,0.0001589784523590777,0.00033836501845676566
2,handwriting_train_56,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,3,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,12,7.052394351113156e-05,0.00015617852921039,0.0010783069139511155,0.0001554504673830734,0.0005744154287311235
2,handwriting_train_56,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,3,-1.0,0.05,0.025,0.49999999999,0.4999999999925,12,7.030557741973728e-05,0.00015664880559598611,0.0010770811304065555,0.0001550480744990196,0.0005736933539131464
2,handwriting_train_56,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,3,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,12,6.994216425076025e-05,0.00015776631006545247,0.001075088199506033,0.00015446945615762154,0.0005725151818783967
3,handwriting_train_35,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,25,0.000143474529376011,0.00015734186856775615,0.00126575944464188,0.0001550743867556739,0.0007046169870089454
3,handwriting_train_35,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,25,0.0001439490457190411,0.00015894293989851457,0.0012632308627952258,0.00015428464532692845,0.0007035899542571335
3,handwriting_train_35,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,25,0.0001446859125932369,0.00016180989780924688,0.001259125575300993,0.0001530632226477938,0.000701905743947115
4,handwriting_train_83,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,8,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,19,0.000175179860624616,0.00015670480323350252,0.002746584281251818,0.00015581125137634438,0.001460882070938217
4,handwriting_train_83,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,8,-1.0,0.05,0.025,0.49999999999,0.4999999999925,19,0.00017540019134600605,0.00015772724637272653,0.002747922553238269,0.00015577171979124163,0.0014616613722921374
4,handwriting_train_83,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,8,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,19,0.00017570452760589636,0.000159797300457703,0.002749979365171111,0.00015577949990852003,0.0014628419463885037
5,handwriting_train_82,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,6,1.0,0.05,0.0125,0.249999999995,0.24999999999625,15,7.63295282129514e-05,0.00015496383295813643,0.0007018230026910408,0.00015647196374861343,0.00038907626545199613
5,handwriting_train_82,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,6,1.0,0.05,0.025,0.49999999999,0.4999999999925,15,7.608248115943546e-05,0.00015417716117222864,0.0007011404447052985,0.00015708745044184353,0.00038861146293236694
5,handwriting_train_82,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,6,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,15,7.566980015311893e-05,0.00015318465828382266,0.0007000313550599819,0.00015813061253050094,0.0003878505776065504
6,handwriting_train_67,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,7,1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,8.817695382317205e-05,0.0001559189331561899,0.0005313098163227028,0.00015692895725257194,0.0003097433850729374
6,handwriting_train_67,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,7,1.0,0.05,0.025,0.49999999999,0.4999999999925,5,8.79258754461174e-05,0.00015611902058407378,0.0005312688731827132,0.00015799661952473938,0.0003095973743144153
6,handwriting_train_67,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,7,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,8.750770021220788e-05,0.00015678155764891678,0.0005312000325783776,0.00015975401417244432,0.00030935386639529275
7,handwriting_train_106,0.25,small,1,1.0,0.1,0.025,0.2499999999975,4,1.0,0.05,0.0125,0.249999999995,0.24999999999625,17,9.984037570194843e-05,0.0001573467244326579,0.0011753255430382579,0.00015708838645973517,0.0006375829593701031
7,handwriting_train_106,0.5,mid,1,1.0,0.1,0.05,0.499999999995,4,1.0,0.05,0.025,0.49999999999,0.4999999999925,17,0.00010004235145244027,0.0001589627241633847,0.0011770364386954058,0.00015830769977081844,0.000638539395073923
7,handwriting_train_106,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,4,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,17,0.00010034925755588577,0.000161875731852494,0.00117973917896478,0.00016029136418559858,0.0006400442182603329
8,handwriting_train_5,0.25,small,8,1.0,0.1,0.025,0.2499999999975,4,1.0,0.05,0.0125,0.249999999995,0.24999999999625,6,5.715396345166348e-05,0.00015523993408830285,0.0010311189045938203,0.00015708825073422448,0.0005441364340227419
8,handwriting_train_5,0.5,mid,8,1.0,0.1,0.05,0.499999999995,4,1.0,0.05,0.025,0.49999999999,0.4999999999925,6,5.7244075306185634e-05,0.00015474509865286026,0.001031915662998311,0.00015830704983829037,0.0005445798691522483
