dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1
ethanolconcentration,1,success,,10,10,4,6,208,208,lraes,timesnet,0.2851183977916403,0.28915430341321524,0.0040359056215749645,1.4155186888380478,42,46,0.4088830673969993,0.4244875258223423
ethanolconcentration,2,success,,10,10,4,6,208,208,lraes,timesnet,0.21755933096851424,0.3241952219624109,0.10663589099389667,49.01460282332201,27,50,0.30227761836441897,0.40785714285714286
ethanolconcentration,3,success,,10,10,4,6,208,208,lraes,timesnet,0.27384126441524015,0.3138824789682112,0.04004121455297105,14.622047563367541,33,60,0.2845006810524052,0.2848746081504702
