dataset,dataset_role,seed,mode,candidate_window_count,safe_window_count,accepted_window_count,accept_rate,source_trial_coverage,class_balance_proxy,mean_purity_drop_accepted,mean_local_continuity_ratio_accepted,mean_radial_gain_accepted,mean_margin_gain_accepted,pool_type,object_mode,informative_gate,knn_reference_set,margin_center_reference,window_to_rebasis_mode,scope_note
selfregulationscp1,main,1,t4b_window_safety_only,1608.0,854.0,854.0,0.5310945273631841,0.9950248756218906,0.9234234234234234,-0.045433255269320856,1.0043389117905106,0.016693252160551546,-2.1225223065303293e-05,window_conditioned_feedback_pool,window_level,safety_only,orig_train_only_windows,orig_train_only_window_class_centers,length1_pseudo_sequence,T4b first-pass evaluation measures window-conditioned rebasis signal via length-1 pseudo sequences; it does not yet claim full segment-aware or trajectory-aware rebasis geometry.
selfregulationscp1,main,1,t4b_window_radial_gate,1608.0,854.0,427.0,0.26554726368159204,0.835820895522388,0.9234234234234234,-0.05058548009367683,1.0043363044423412,0.029995406653799274,-4.7079826539718756e-05,window_conditioned_feedback_pool,window_level,radial,orig_train_only_windows,orig_train_only_window_class_centers,length1_pseudo_sequence,T4b first-pass evaluation measures window-conditioned rebasis signal via length-1 pseudo sequences; it does not yet claim full segment-aware or trajectory-aware rebasis geometry.
selfregulationscp1,main,1,t4b_window_margin_gate,1608.0,854.0,427.0,0.26554726368159204,0.8258706467661692,0.9234234234234234,-0.0440281030444965,1.0042362158729419,0.017156171593796066,0.0004097954166936374,window_conditioned_feedback_pool,window_level,margin,orig_train_only_windows,orig_train_only_window_class_centers,length1_pseudo_sequence,T4b first-pass evaluation measures window-conditioned rebasis signal via length-1 pseudo sequences; it does not yet claim full segment-aware or trajectory-aware rebasis geometry.
natops,anchor,1,t4b_window_safety_only,675.0,503.0,503.0,0.7451851851851852,0.9851851851851852,0.9534883720930233,-0.040159045725646124,1.0000653931875383,0.004980462237341908,6.969615768429518e-05,window_conditioned_feedback_pool,window_level,safety_only,orig_train_only_windows,orig_train_only_window_class_centers,length1_pseudo_sequence,T4b first-pass evaluation measures window-conditioned rebasis signal via length-1 pseudo sequences; it does not yet claim full segment-aware or trajectory-aware rebasis geometry.
natops,anchor,1,t4b_window_radial_gate,675.0,503.0,252.0,0.37333333333333335,0.6,0.9534883720930233,-0.035714285714285705,1.0000610062701294,0.008826211632116544,-0.00017778986540852753,window_conditioned_feedback_pool,window_level,radial,orig_train_only_windows,orig_train_only_window_class_centers,length1_pseudo_sequence,T4b first-pass evaluation measures window-conditioned rebasis signal via length-1 pseudo sequences; it does not yet claim full segment-aware or trajectory-aware rebasis geometry.
natops,anchor,1,t4b_window_margin_gate,675.0,503.0,252.0,0.37333333333333335,0.674074074074074,0.9534883720930233,-0.03492063492063491,1.0000661939260558,0.004674698287171585,0.000966847556655666,window_conditioned_feedback_pool,window_level,margin,orig_train_only_windows,orig_train_only_window_class_centers,length1_pseudo_sequence,T4b first-pass evaluation measures window-conditioned rebasis signal via length-1 pseudo sequences; it does not yet claim full segment-aware or trajectory-aware rebasis geometry.
