dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,mba_f1,gain,f1_gain_pct,base_stop_epoch,mba_stop_epoch,base_best_val_f1,mba_best_val_f1
handwriting,1,success,,10,10,26.0,6.0,120.0,120.0,lraes,resnet1d,0.3548841312589654,0.4686729073050436,0.1137887760460781,32.063632594327466,30.0,30.0,0.3799603174603174,0.3413333333333333
handwriting,2,success,,10,10,26.0,6.0,120.0,120.0,lraes,resnet1d,0.4237170342549605,0.4977383652323339,0.0740213309773733,17.469515625684604,30.0,30.0,0.4135238095238095,0.444
handwriting,3,success,,10,10,26.0,6.0,120.0,120.0,lraes,resnet1d,0.3853555971702326,0.45164945108047,0.0662938539102373,17.203288908675905,30.0,30.0,0.3708333333333333,0.458531746031746
har,1,success,,10,10,6.0,45.0,5881.0,5881.0,lraes,resnet1d,0.939308857850736,0.9519036893167396,0.0125948314660035,1.3408614237877865,30.0,30.0,0.9716849147383216,0.9768031912699676
har,2,success,,10,10,6.0,45.0,5881.0,5881.0,lraes,resnet1d,0.933041382749138,0.9365964378290804,0.0035550550799424,0.381017901740849,30.0,29.0,0.9748944102309998,0.9755631326961468
har,3,success,,10,10,6.0,45.0,5881.0,5881.0,lraes,resnet1d,0.9359326734639212,0.9483825430792828,0.0124498696153615,1.330209815100728,30.0,30.0,0.9649102969998492,0.969295533435336
heartbeat,1,success,,10,6,2.0,1891.0,163.0,163.0,lraes,resnet1d,0.6230627790911478,0.6592720735388895,0.0362092944477416,5.81149923432441,15.0,17.0,0.6893939393939394,0.7152777777777778
heartbeat,2,success,,10,6,2.0,1891.0,163.0,163.0,lraes,resnet1d,0.6340438937309671,0.5826581910341102,-0.0513857026968569,-8.104438052394917,12.0,13.0,0.6440972222222222,0.6554621848739496
heartbeat,3,success,,10,6,2.0,1891.0,163.0,163.0,lraes,resnet1d,0.5706118626943644,0.5488403588962248,-0.0217715037981395,-3.8154657142722654,25.0,19.0,0.6846153846153846,0.6196660482374767
japanesevowels,1,success,,10,10,9.0,78.0,216.0,216.0,lraes,resnet1d,0.981477882870077,0.987919924346324,0.0064420414762469,0.6563612825433808,30.0,30.0,0.9627039627039627,0.9813519813519817
japanesevowels,2,success,,10,10,9.0,78.0,216.0,216.0,lraes,resnet1d,0.9755509879215862,0.9784617900742932,0.0029108021527068,0.2983751634072146,30.0,24.0,1.0,1.0
japanesevowels,3,success,,10,10,9.0,78.0,216.0,216.0,lraes,resnet1d,0.9747009352892034,0.9859670381914378,0.0112661029022343,1.155852153054463,29.0,30.0,0.9813519813519817,1.0
libras,1,success,,10,10,15.0,3.0,144.0,144.0,lraes,resnet1d,0.830804895524418,0.863863407376335,0.0330585118519169,3.979094014841583,30.0,30.0,0.9022222222222224,0.9542857142857144
libras,2,success,,10,10,15.0,3.0,144.0,144.0,lraes,resnet1d,0.8191670390736561,0.9106795330273592,0.091512493953703,11.171406858091103,30.0,24.0,0.8593650793650792,0.916031746031746
libras,3,success,,10,10,15.0,3.0,144.0,144.0,lraes,resnet1d,0.8155116227107073,0.8279134622709152,0.0124018395602079,1.5207432603157447,30.0,26.0,0.8663492063492064,0.8726984126984128
motorimagery,1,success,,10,6,2.0,2080.0,222.0,222.0,lraes,resnet1d,0.3551587301587301,0.3809523809523809,0.0257936507936508,7.262567787522819,20.0,21.0,0.5522865366165655,0.5139826422372227
motorimagery,2,success,,10,6,2.0,2080.0,222.0,222.0,lraes,resnet1d,0.3985139757046821,0.52,0.1214860242953179,30.48475115477347,13.0,28.0,0.5891547049441785,0.5882352941176471
motorimagery,3,success,,10,6,2.0,2080.0,222.0,222.0,lraes,resnet1d,0.4652406417112299,0.4926948051948052,0.0274541634835753,5.901066055091072,16.0,27.0,0.5942028985507246,0.5625
natops,1,success,,10,10,6.0,300.0,144.0,144.0,lraes,resnet1d,0.9498000436629224,0.9043062200956936,-0.0454938235672285,-4.789831194569074,25.0,16.0,0.9428571428571428,0.918181818181818
natops,2,success,,10,10,6.0,300.0,144.0,144.0,lraes,resnet1d,0.9382839919059088,0.9312531440287516,-0.0070308478771572,-0.7493303934073622,30.0,27.0,1.0,1.0
natops,3,success,,10,10,6.0,300.0,144.0,144.0,lraes,resnet1d,0.9233117816091956,0.9777431415662372,0.0544313599570416,5.8952300995169535,19.0,30.0,0.945887445887446,0.972027972027972
pendigits,1,success,,10,10,10.0,3.0,5995.0,5995.0,lraes,resnet1d,0.9911259083604966,0.985730586217209,-0.0053953221432876,-0.5443628860282346,30.0,30.0,0.997970077097535,0.9993055471830052
pendigits,2,success,,10,10,10.0,3.0,5995.0,5995.0,lraes,resnet1d,0.9863291815625193,0.9798663569032752,-0.0064628246592441,-0.6552400684085887,27.0,23.0,0.9973562304373716,0.998717935547497
pendigits,3,success,,10,10,10.0,3.0,5995.0,5995.0,lraes,resnet1d,0.979365454152507,0.9896753542117328,0.0103099000592259,1.052712137517191,16.0,21.0,0.9980193602516568,0.9980483233726484
