dataset,seed,operator_mode,trajectory_len_mean,step_change_mean,local_curvature_proxy,classwise_dispersion,transition_separation_proxy,continuity_distortion_ratio
natops,1,baseline,5.0,3.2731580204433866,4.577633928369592,6.626492102940877,0.861331582069397,1.0
natops,1,operator_unsmoothed,5.0,3.2740124773096153,4.578827537872173,6.481691122055054,0.8617068529129028,1.0005351967106888
natops,1,operator_smoothed,5.0,3.2735950770201505,4.5779250100806905,6.481691122055054,0.8616694808006287,1.000278508038829
selfregulationscp1,1,baseline,8.0,1.1183780129276104,1.6809517945816268,0.8313723802566528,0.08121607452630997,1.0
selfregulationscp1,1,operator_unsmoothed,8.0,1.1362961592958933,1.7058703558361945,0.8456499874591827,0.08143741637468338,1.0317460595766437
selfregulationscp1,1,operator_smoothed,8.0,1.1271957264314243,1.688688995529763,0.8456499874591827,0.08148696273565292,1.0156396903645741
