dataset,seed,operator_mode,axis_count,gamma_main,smooth_lambda,test_macro_f1,delta_vs_dynamic_baseline,t0_dynamic_gru_reference,raw_minirocket_reference
natops,1,baseline,1,0.1,0.0,0.7572111428924555,0.0,0.8065559912712815,0.7170628040311606
natops,1,operator_unsmoothed,1,0.1,0.0,0.774047069117596,0.01683592622514052,0.8065559912712815,0.7170628040311606
natops,1,operator_smoothed,1,0.1,0.5,0.774047069117596,0.01683592622514052,0.8065559912712815,0.7170628040311606
selfregulationscp1,1,baseline,1,0.1,0.0,0.5658246310016919,0.0,0.6620530565167243,0.6792310680525963
selfregulationscp1,1,operator_unsmoothed,1,0.1,0.0,0.6240450152444408,0.05822038424274889,0.6620530565167243,0.6792310680525963
selfregulationscp1,1,operator_smoothed,1,0.1,0.5,0.6240450152444408,0.05822038424274889,0.6620530565167243,0.6792310680525963
