dataset,baseline_macro_f1_mean,baseline_macro_f1_std,baseline_macro_f1,operator_unsmoothed_macro_f1_mean,operator_unsmoothed_macro_f1_std,operator_unsmoothed_macro_f1,operator_smoothed_macro_f1_mean,operator_smoothed_macro_f1_std,operator_smoothed_macro_f1,t0_dynamic_gru_macro_f1_mean,t0_dynamic_gru_macro_f1_std,t0_dynamic_gru_macro_f1,raw_minirocket_macro_f1_mean,raw_minirocket_macro_f1_std,raw_minirocket_macro_f1,best_mode
natops,0.7572111428924555,0.0,0.7572 +/- 0.0000,0.774047069117596,0.0,0.7740 +/- 0.0000,0.774047069117596,0.0,0.7740 +/- 0.0000,0.8065559912712815,0.0,0.8066 +/- 0.0000,0.7170628040311606,0.0,0.7171 +/- 0.0000,operator_unsmoothed
selfregulationscp1,0.5658246310016919,0.0,0.5658 +/- 0.0000,0.6240450152444408,0.0,0.6240 +/- 0.0000,0.6240450152444408,0.0,0.6240 +/- 0.0000,0.6620530565167243,0.0,0.6621 +/- 0.0000,0.6792310680525963,0.0,0.6792 +/- 0.0000,operator_unsmoothed
