dataset,seed,arm,fit_window_count,fit_trial_count,accepted_window_ratio,shaped_window_ratio,operator_norm_mean,operator_norm_p95,operator_to_step_ratio_mean,local_step_distortion_ratio_mean,local_step_distortion_ratio_p95,operator_direction_stability,response_vs_margin_correlation,activation_coverage_ratio,applied_window_count_total,train_applied_window_count,val_applied_window_count,test_applied_window_count
selfregulationscp1,1,mean_centered,64,9,1.0,1.0,0.0022997184627193577,0.0045553121612099704,0.0477764038818557,0.9993951745605798,1.003211901315035,0.9501787884452807,0.0,0.0,402798,144318,48106,210374
selfregulationscp1,1,single_template_pia,64,9,1.0,1.0,0.003631149077737072,0.007593104543220949,0.0747940386479315,1.000346360774575,1.0042782669358716,0.98738554633115,0.2769379457256457,0.4419833266302216,402798,144318,48106,210374
