dataset,seed,operator_mode,trajectory_len_mean,step_change_mean,local_curvature_proxy,classwise_dispersion,transition_separation_proxy,continuity_distortion_ratio,saliency_low_ratio,saliency_mid_ratio,saliency_high_ratio,gamma_effective_mean
natops,1,baseline,5.0,3.2731580204433866,4.577633928369592,6.626492102940877,0.861331582069397,1.0,,,,0.0
natops,1,t2a_default,5.0,3.2733727627330356,4.577777869613082,6.478785753250122,0.8614986538887024,1.000136821937273,,,,0.05
natops,1,t2b_saliency,5.0,3.2733831533679254,4.577816241317326,6.478813727696736,0.8615617752075195,1.0001504931290612,0.3999999999999999,0.19999999999999996,0.3999999999999999,0.049999999999999996
natops,1,t2b_randomized,5.0,3.2733687422893665,4.577768871077785,6.478747049967448,0.861491322517395,1.000135022994347,0.3999999999999999,0.19999999999999996,0.3999999999999999,0.049999999999999996
selfregulationscp1,1,baseline,8.0,1.1183780129276104,1.6809517945816268,0.8313723802566528,0.08121607452630997,1.0,,,,0.0
selfregulationscp1,1,t2a_default,8.0,1.1227439363204426,1.6847907924533483,0.8363214433193207,0.08134962618350983,1.0077427068087528,,,,0.05
selfregulationscp1,1,t2b_saliency,8.0,1.1231550153215133,1.6856550950909135,0.8365451395511627,0.08123684674501419,1.0084334360930058,0.375,0.25,0.375,0.05
selfregulationscp1,1,t2b_randomized,8.0,1.1226836829932767,1.684732678814314,0.8361819386482239,0.08131765574216843,1.007629121835457,0.375,0.25,0.375,0.05
