dataset,baseline_macro_f1_mean,baseline_macro_f1_std,baseline_macro_f1,t2a_default_macro_f1_mean,t2a_default_macro_f1_std,t2a_default_macro_f1,t2b_saliency_macro_f1_mean,t2b_saliency_macro_f1_std,t2b_saliency_macro_f1,t2b_random_macro_f1_mean,t2b_random_macro_f1_std,t2b_random_macro_f1,best_mode
natops,0.6856807630081206,0.0,0.6857 +/- 0.0000,0.7335235639182134,0.0,0.7335 +/- 0.0000,0.7335235639182134,0.0,0.7335 +/- 0.0000,0.7335235639182134,0.0,0.7335 +/- 0.0000,t2a_default
selfregulationscp1,0.5144024276377217,0.0,0.5144 +/- 0.0000,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.5619607058352658,0.0,0.5620 +/- 0.0000,t2a_default
