dataset,seed,center_shift_norm,basis_cosine_to_old,basis_angle_proxy,pooled_window_count_orig,pooled_window_count_feedback,pooled_window_count_total,rebasis_mode,shared_basis_mode
natops,1,0.14611980022981305,0.15566116573155028,1.4144995842389652,675.0,425.0,1100.0,constrained_shared_basis_refit,global_single_axis
selfregulationscp1,1,0.01910494670520323,0.998757490978982,0.04985511831465623,1608.0,856.0,2464.0,constrained_shared_basis_refit,global_single_axis
