dataset,seed,trial_id,changed_window_count,replay_window_ratio,stitch_boundary_count,stitch_boundary_jump_ratio_mean,replay_continuity_distortion_ratio
selfregulationscp1,1,selfregulationscp1_train_n00143,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00080,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00067,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00110,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00028,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00152,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00261,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00090,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00183,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00212,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00156,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00150,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00114,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00175,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00033,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00022,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00188,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00256,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00020,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00235,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00059,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00237,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00173,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00177,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00207,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00004,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00026,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00043,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00149,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00045,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00227,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00014,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00085,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00182,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00060,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00234,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00200,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00054,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00251,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00103,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00077,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00267,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00176,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00051,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00128,8,0.011142061281337047,6,1.5732030392882426,1.0035949423537114
selfregulationscp1,1,selfregulationscp1_train_n00122,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00265,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00193,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00160,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00084,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00134,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00220,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00132,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00096,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00244,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00071,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00068,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00087,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00167,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00017,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00016,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00206,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00129,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00146,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00013,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00195,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00189,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00133,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00032,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00138,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00252,0,0.0,0,1.0,1.0
selfregulationscp1,1,selfregulationscp1_train_n00038,0,0.0,0,1.0,1.0
