dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source,feedback_margin_temperature,aug_loss_weight,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
handwriting,1,success,lraes,resnet1d,mba_feedback,0.2647332101658577,0.2712507578361287,0.006517547670270962,2.4619295796919785,15,15,0.2494047619047619,0.2722222222222222,0.00015732243548662665,0.00032405923190412705,1.0770717744748584,0.11399916953735968,0.8510652872284485,0.24298309895174477,0.0,0.0,120,120,10,10,lraes,1.0,1.0,0.602060483838949,0.2371212561068354,0.9253143966197968,0.5699564516544342,1.8397218585014343
handwriting,2,success,lraes,resnet1d,mba_feedback,0.235855843616036,0.2784985719855951,0.04264272836955907,18.079988876167445,15,15,0.22626262626262625,0.26686507936507936,0.0001575977174057017,0.00032066936433350677,1.0817051530544655,0.1198363824771353,0.8748595268574775,0.2591882417685239,0.0,0.0,120,120,10,10,lraes,1.0,1.0,0.5862447625564204,0.2301370791951121,0.9313342869281769,0.5768240392208099,1.732484519481659
handwriting,3,success,lraes,resnet1d,mba_feedback,0.2518382860113333,0.20771261561235546,-0.04412567039897783,-17.521423599415886,15,15,0.19999999999999998,0.225,0.00015689658225254247,0.00032400685209255407,1.081742630238755,0.11820170849729945,0.867617464781641,0.2621793509247431,0.0,0.0,120,120,10,10,lraes,1.0,1.0,0.5872010669029422,0.2286100176119793,0.9802337884902954,0.58524489402771,1.6371760964393616
