dataset,label,arm,prototype_geometry_mode,subproto_temperature,run_dir,local_acc,final_acc,final_override_rate,helpful_override_rate,harmful_override_rate,subproto_weight_entropy_mean,same_weight_max_mean,subproto_cos_top1_top2_gap_mean,subproto_top1_occupancy_entropy,subproto_usage_effective_count,subproto_pairwise_cos_mean
epilepsy,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_epilepsy_seed1,0.9855072463768116,0.9927536231884058,0.0,0.0,0.0,0.9968280269615892,0.2794123058733733,0.039278900115818215,0.9154824741491877,3.5577495340609833,0.6756955236196518
epilepsy,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_epilepsy_seed1,0.9710144927536232,0.9782608695652174,0.0,0.0,0.0,0.974222111961116,0.3432294341964998,0.050836328471052475,0.8872811065294615,3.421341736359966,0.6756071299314499
epilepsy,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_epilepsy_seed1,0.9710144927536232,0.9927536231884058,0.0,0.0,0.0,0.9099106857742089,0.4271075364904127,0.04432268170774847,0.8683768627400706,3.332843848668155,0.6723389029502869
atrialfibrillation,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_atrialfibrillation_seed1,,0.26666666666666666,,,,,,,,,
atrialfibrillation,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_atrialfibrillation_seed1,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
atrialfibrillation,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_atrialfibrillation_seed1,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.9990886052449545,0.2584428091843923,0.00979682058095932,0.782798115178801,2.9599980601104128,0.6461875041325887
atrialfibrillation,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_atrialfibrillation_seed1,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.9965547680854797,0.2666420817375183,0.009749574462572734,0.9128025995084719,3.544556677721428,0.6461567680040995
atrialfibrillation,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_atrialfibrillation_seed1,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.982211156686147,0.2890589793523153,0.009805495540301004,0.782798115178801,2.9599980601104128,0.6462034980456034
atrialfibrillation,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_atrialfibrillation_seed1,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.9492864727973938,0.3210662325223287,0.009970503548781076,0.9128025995084719,3.544556677721428,0.6461503307024637
pendigits,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_pendigits_seed1,,0.9888507718696398,,,,,,,,,
