dataset,base_pia_config,static_reference_config,base_flip_rate_mean,static_refined_flip_rate_mean,risk_aware_flip_rate_mean,base_margin_drop_median_mean,static_refined_margin_drop_median_mean,risk_aware_margin_drop_median_mean,base_classwise_covariance_distortion_mean,static_refined_classwise_covariance_distortion_mean,risk_aware_classwise_covariance_distortion_mean,base_cond_A_mean,static_refined_cond_A_mean,risk_aware_cond_A_mean,risk_aware_selected_scale_patterns
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb090,0.0,0.0,0.0,0.005610181507371248,0.004794177710207959,0.006381396717435317,1.3628780947796446,1.1688759534515156,1.1641714122600273,4.780841197435742,4.071198705097608,4.057832115123237,"[""{\""0\"": 0.7, \""1\"": 0.7, \""2\"": 0.8, \""3\"": 0.8, \""4\"": 0.75, \""5\"": 0.8}""]"
selfregulationscp1,g100_k2_pb100,g100_k2_pb100__axis2s070_pb090,0.05970149253731343,0.033582089552238806,0.03731343283582089,-0.017073248879336637,-0.00934081988141202,-0.010024382209110005,3.7231370789225853,2.3418144800967196,2.535145455768588,1.026570932235395,1.0201701465496664,1.020776199517065,"[""{\""0\"": 0.8, \""1\"": 0.7}""]"
