dataset,base_pia_config,fragility_probe_type,fragility_probe_level,controller_mode,available_scales,fixed_pullback_alpha,static_reference_config,config_id
natops,g100_k2_pb100,fisher_risk_expand_boundary_purity_v1,class,risk_aware_discrete_axis2_v1,"[0.8, 0.75, 0.7]",0.9,g100_k2_pb100__axis2s080_pb090,risk_aware_axis2
selfregulationscp1,g100_k2_pb100,fisher_risk_expand_boundary_purity_v1,class,risk_aware_discrete_axis2_v1,"[0.8, 0.75, 0.7]",0.9,g100_k2_pb100__axis2s070_pb090,risk_aware_axis2
