phase,dataset,method,aug_f1_mean,aug_f1_std,gain_mean,actual_aug_ratio_mean,method_elapsed_sec_mean,fallback_count_mean,n_seeds
phase1_locked,handwriting,pca_cov_state,0.4674405889172227,0.038831278159894116,0.06734057122944644,10.0,,,3
phase1_locked,handwriting,raw_aug_timewarp,0.46740003184067774,0.021279748823811777,0.0673000141529014,10.0,,,3
phase2_new,handwriting,raw_aug_window_slicing,0.4658683765467638,0.014351308014478224,0.06576835885898744,10.0,1.6920187893362406,0.0,3
phase1_locked,handwriting,random_cov_state,0.4643840351655004,0.015589582982105032,0.06428401747772407,10.0,,,3
phase1_locked,handwriting,csta_top1_current,0.46049183816916345,0.024938794741042842,0.06039182048138706,10.0,,,3
phase1_locked,handwriting,raw_aug_scaling,0.45070560380102914,0.03034591892468749,0.050605586113252804,10.0,,,3
phase2_new,handwriting,raw_aug_magnitude_warping,0.44633543226444,0.014809261656393076,0.0462354145766637,10.0,2.4375378419839158,0.0,3
phase2_new,handwriting,spawner_sameclass_style,0.4453235878703865,0.0144274840369021,0.0452235701826102,10.0,6.057279429330568,0.0,3
phase1_locked,handwriting,raw_smote_flatten_balanced,0.427791762958615,0.04092412858085549,0.027691745270838633,0.9499999999999998,,,3
phase2_new,handwriting,wdba_sameclass,0.40327345356016026,0.04011341520294545,0.0031734358723839655,10.0,21.304675023333402,400.0,3
phase1_locked,handwriting,no_aug,0.4001000176877763,0.01581157827429161,0.0,0.0,,,3
phase1_locked,handwriting,dba_sameclass,0.38789929123753014,0.032872939476993886,-0.012200726450246132,10.0,,,3
phase1_locked,handwriting,raw_mixup,0.3597628913762043,0.04007175081421775,-0.040337126311571936,10.0,,,3
phase1_locked,japanesevowels,random_cov_state,0.9839705286795409,0.009416793921985411,0.017819569647161967,10.0,,,3
phase1_locked,japanesevowels,raw_aug_jitter,0.982607499733312,0.0029554286773553697,0.016456540700933,10.0,,,3
phase2_new,japanesevowels,spawner_sameclass_style,0.9814956375323926,0.004806264483097556,0.015344678500013498,10.0,7.663520512656153,0.0,3
phase1_locked,japanesevowels,dba_sameclass,0.9800850697535949,0.002614689611056866,0.013934110721215998,10.0,,,3
phase2_new,japanesevowels,raw_aug_window_slicing,0.978106181693868,0.0096127901652042,0.011955222661489032,10.0,3.9257322293415204,0.0,3
phase1_locked,japanesevowels,raw_aug_timewarp,0.9771057924292766,0.005607513592794003,0.0109548333968976,10.0,,,3
phase1_locked,japanesevowels,raw_mixup,0.9768844693938915,0.009413944785508234,0.010733510361512669,10.0,,,3
phase1_locked,japanesevowels,raw_aug_scaling,0.976410358079742,0.009114908015780404,0.010259399047363067,10.0,,,3
phase2_new,japanesevowels,raw_aug_magnitude_warping,0.9752613721031892,0.0014082178560424173,0.009110413070810166,10.0,8.130972484330414,0.0,3
phase2_new,japanesevowels,wdba_sameclass,0.9748549646117772,0.007682807272662324,0.008704005579398233,10.0,17.48485302766009,0.0,3
phase2_new,japanesevowels,raw_aug_window_warping,0.9743241056043322,0.010738933506217418,0.0081731465719533,10.0,4.32122000399977,0.0,3
phase1_locked,japanesevowels,csta_top1_current,0.97049413005379,0.010967015577437381,0.004343171021411134,10.0,,,3
phase1_locked,japanesevowels,pca_cov_state,0.9701810617784151,0.008767104124671599,0.0040301027460364,10.0,,,3
phase1_locked,japanesevowels,csta_group_template_top,0.9698710284725901,0.0018939467377834278,0.0037200694402112332,10.0,,,3
phase1_locked,japanesevowels,no_aug,0.9661509590323788,0.009167563041868563,0.0,0.0,,,3
phase1_locked,japanesevowels,raw_smote_flatten_balanced,0.9661509590323788,0.009167563041868563,0.0,0.0,,,3
phase1_locked,natops,csta_group_template_top,0.9659304125637961,0.015946780072489394,0.044287880280619696,10.0,,,3
phase1_locked,natops,raw_aug_jitter,0.962552462463421,0.008483221292069562,0.0409099301802448,10.0,,,3
phase1_locked,natops,csta_top1_current,0.9607853534384795,0.00026791583104566216,0.03914282115530317,10.0,,,3
phase2_new,natops,raw_aug_window_slicing,0.9593027544681579,0.028105022407811986,0.037660222184981766,10.0,3.639061568004157,0.0,3
phase1_locked,natops,dba_sameclass,0.9572815415000319,0.003189264695032343,0.03563900921685553,10.0,,,3
phase2_new,natops,spawner_sameclass_style,0.9570973167060624,0.013076201620019146,0.035454784422886104,10.0,3.3715542300002803,0.0,3
phase1_locked,natops,random_cov_state,0.9535241013126406,0.011625995422057398,0.031881569029464436,10.0,,,3
phase1_locked,natops,raw_aug_scaling,0.9532802159934782,0.027640831394789664,0.03163768371030213,10.0,,,3
phase1_locked,natops,pca_cov_state,0.9512742307142527,0.023066197393943336,0.029631698431076398,10.0,,,3
phase2_new,natops,wdba_sameclass,0.9471451759840152,0.011636287485505716,0.025502643700838965,10.0,7.700515409330062,0.0,3
phase2_new,natops,raw_aug_magnitude_warping,0.9453827315496072,0.01481503118125576,0.023740199266430995,10.0,7.196890224663851,0.0,3
phase1_locked,natops,raw_aug_timewarp,0.9432313199163264,0.031479676873337616,0.02158878763315017,10.0,,,3
phase2_new,natops,raw_aug_window_warping,0.9405264176909055,0.01723756073393078,0.018883885407729332,10.0,3.1088260163281425,0.0,3
phase1_locked,natops,raw_mixup,0.9296079267520693,0.01817994816978873,0.007965394468893133,10.0,,,3
phase1_locked,natops,no_aug,0.9216425322831762,0.01515792484574601,0.0,0.0,,,3
phase1_locked,natops,raw_smote_flatten_balanced,0.9216425322831762,0.01515792484574601,0.0,0.0,,,3
phase1_locked,racketsports,raw_mixup,0.9065936439644634,0.007330762640486472,0.036986144292439065,10.0,,,3
phase1_locked,racketsports,raw_aug_timewarp,0.9010889846487858,0.009282679736577551,0.03148148497676173,10.0,,,3
phase2_new,racketsports,spawner_sameclass_style,0.8972098246658815,0.012576425329024993,0.02760232499385733,10.0,3.7231521936676777,0.0,3
phase2_new,racketsports,wdba_sameclass,0.8968577312346774,0.012581804056452916,0.027250231562653004,10.0,8.070160734001547,0.0,3
phase1_locked,racketsports,csta_group_template_top,0.8922015072213133,0.0254972938419194,0.022594007549289002,10.0,,,3
phase1_locked,racketsports,random_cov_state,0.8846388859417199,0.012082812432002751,0.015031386269695699,10.0,,,3
phase2_new,racketsports,raw_aug_window_slicing,0.8841151229652469,0.011466900141578652,0.014507623293222603,10.0,2.3439851273336294,0.0,3
phase2_new,racketsports,raw_aug_window_warping,0.883870893427125,0.045140950123942356,0.0142633937551008,10.0,2.5579545049986336,0.0,3
phase2_new,racketsports,raw_aug_magnitude_warping,0.8804482055344324,0.0041812079395846715,0.010840705862408068,10.0,3.364921267328706,0.0,3
phase1_locked,racketsports,pca_cov_state,0.8798842950588853,0.01991009129423339,0.010276795386861068,10.0,,,3
phase1_locked,racketsports,dba_sameclass,0.872503601911864,0.005570079636005558,0.0028961022398398,10.0,,,3
phase1_locked,racketsports,csta_top1_current,0.8721055206171656,0.020839551263019923,0.0024980209451413993,10.0,,,3
phase1_locked,racketsports,raw_aug_jitter,0.8713085794059318,0.01096807213178118,0.0017010797339076,10.0,,,3
phase1_locked,racketsports,no_aug,0.8696074996720241,0.013229632397157179,0.0,0.0,,,3
phase1_locked,racketsports,raw_aug_scaling,0.8669590239709484,0.01578340698638265,-0.0026484757010757343,10.0,,,3
phase1_locked,racketsports,raw_smote_flatten_balanced,0.8532594849761908,0.0023617088907336658,-0.0163480146958334,0.1333333333333333,,,3
