dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,warp_sigma,warp_knots,per_channel_curve,window_warp_ratio,window_warp_min_window_len,window_warp_speed_min,window_warp_speed_max,window_slice_ratio,window_slice_min_window_len,wdba_k,wdba_max_iter,wdba_tau,spawner_noise_scale
atrialfibrillation,1,raw_aug_magnitude_warping,success,,0.21645021645021645,0.1111111111111111,-0.10533910533910534,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.5555555555555555,30,0,0,0.9756147750013042,0.2,4.0,1.0,,,,,,,,,,
atrialfibrillation,1,raw_aug_window_warping,success,,0.21645021645021645,0.12169312169312169,-0.09475709475709476,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.5555555555555555,30,0,0,0.877054368989775,,,,0.1,4.0,0.5,2.0,,,,,,
atrialfibrillation,1,raw_aug_window_slicing,success,,0.21645021645021645,0.13888888888888887,-0.07756132756132758,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.5555555555555555,30,0,0,0.860600151005201,,,,,,,,0.9,4.0,,,,
atrialfibrillation,1,wdba_sameclass,success,,0.21645021645021645,0.33404558404558404,0.1175953675953676,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5555555555555555,30,120,120,24.742609220003942,,,,,,,,,,5.0,5.0,6.7119545258324775,
atrialfibrillation,1,spawner_sameclass_style,success,,0.21645021645021645,0.05555555555555555,-0.1608946608946609,120,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.5555555555555555,30,0,0,2.4499541699769907,,,,,,,,,,,,,0.05
atrialfibrillation,2,raw_aug_magnitude_warping,success,,0.32051282051282054,0.16317016317016317,-0.15734265734265737,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,30,0,0,0.8810505469737109,0.2,4.0,1.0,,,,,,,,,,
atrialfibrillation,2,raw_aug_window_warping,success,,0.32051282051282054,0.1111111111111111,-0.20940170940170943,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,1.0,30,0,0,0.8477271690207999,,,,0.1,4.0,0.5,2.0,,,,,,
atrialfibrillation,2,raw_aug_window_slicing,success,,0.32051282051282054,0.2644688644688645,-0.05604395604395607,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,30,0,0,0.8460778720036615,,,,,,,,0.9,4.0,,,,
atrialfibrillation,2,wdba_sameclass,success,,0.32051282051282054,0.2878787878787879,-0.03263403263403264,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,120,120,20.245845943980385,,,,,,,,,,5.0,5.0,6.750113428283223,
atrialfibrillation,2,spawner_sameclass_style,success,,0.32051282051282054,0.3433048433048433,0.022792022792022748,120,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,30,0,0,1.8526724730036221,,,,,,,,,,,,,0.05
atrialfibrillation,3,raw_aug_magnitude_warping,success,,0.16666666666666666,0.3206349206349206,0.15396825396825395,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,20,0,0,0.5857652020058595,0.2,4.0,1.0,,,,,,,,,,
