dataset,phase,config_id,seed,operator_mode,gamma_main,smooth_lambda,test_macro_f1,delta_vs_t2a_baseline,delta_vs_best_t2a
selfregulationscp1,baseline,scp1_baseline,1,baseline,0.1,0.0,0.5144024276377217,0.0,-0.15794870459599375
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g005_l050,1,operator_smoothed,0.05,0.5,0.5619607058352658,0.0475582781975441,-0.11039042639844965
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g008_l050,1,operator_smoothed,0.08,0.5,0.5619607058352658,0.0475582781975441,-0.11039042639844965
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g010_l050,1,operator_smoothed,0.1,0.5,0.5619607058352658,0.0475582781975441,-0.11039042639844965
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g012_l050,1,operator_smoothed,0.12,0.5,0.56509754028838,0.05069511265065829,-0.10725359194533546
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g015_l050,1,operator_smoothed,0.15,0.5,0.56509754028838,0.05069511265065829,-0.10725359194533546
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l000,1,operator_unsmoothed,0.1,0.0,0.5619607058352658,0.0475582781975441,-0.11039042639844965
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l025,1,operator_smoothed,0.1,0.25,0.5619607058352658,0.0475582781975441,-0.11039042639844965
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l050,1,operator_smoothed,0.1,0.5,0.5619607058352658,0.0475582781975441,-0.11039042639844965
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l075,1,operator_smoothed,0.1,0.75,0.5619607058352658,0.0475582781975441,-0.11039042639844965
natops,natops_anchor,natops_baseline,1,baseline,0.1,0.0,0.6856807630081206,0.0,-0.13664340182601586
natops,natops_anchor,natops_formal_best_g010_l050,1,operator_smoothed,0.1,0.5,0.7335235639182134,0.04784280091009274,-0.08880060091592312
natops,natops_anchor,natops_candidate_g012_l050,1,operator_smoothed,0.12,0.5,0.7335235639182134,0.04784280091009274,-0.08880060091592312
