dataset,phase,config_id,gamma_main,smooth_lambda,macro_f1_mean,macro_f1_std,macro_f1,delta_vs_t2a_baseline_mean,delta_vs_best_t2a_mean,step_change_mean,local_curvature_proxy,transition_separation_proxy,continuity_distortion_ratio,is_candidate
natops,natops_anchor,natops_baseline,0.1,0.0,0.6856807630081206,0.0,0.6857 +/- 0.0000,0.0,-0.13664340182601586,3.2731580204433866,4.577633928369592,0.861331582069397,1.0,False
natops,natops_anchor,natops_candidate_g012_l050,0.12,0.5,0.7335235639182134,0.0,0.7335 +/- 0.0000,0.04784280091009274,-0.08880060091592312,3.2736861171545804,4.577984752036907,0.8617388010025024,1.0003365430534035,False
natops,natops_anchor,natops_formal_best_g010_l050,0.1,0.5,0.7335235639182134,0.0,0.7335 +/- 0.0000,0.04784280091009274,-0.08880060091592312,3.2735950770201505,4.5779250100806905,0.8616694808006287,1.000278508038829,False
selfregulationscp1,baseline,scp1_baseline,0.1,0.0,0.5144024276377217,0.0,0.5144 +/- 0.0000,0.0,-0.15794870459599375,1.1183780129276104,1.6809517945816268,0.08121607452630997,1.0,False
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g005_l050,0.05,0.5,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1227439363204426,1.6847907924533483,0.08134962618350983,1.0077427068087528,False
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g008_l050,0.08,0.5,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1254048977621751,1.6871226901438698,0.08143158257007599,1.0124627187545634,False
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g010_l050,0.1,0.5,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1271957264314243,1.688688995529763,0.08148696273565292,1.0156396903645741,False
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g012_l050,0.12,0.5,0.56509754028838,0.0,0.5651 +/- 0.0000,0.05069511265065829,-0.10725359194533546,1.1289998264751624,1.690264572848135,0.0815429538488388,1.0188405171984327,True
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g015_l050,0.15,0.5,0.56509754028838,0.0,0.5651 +/- 0.0000,0.05069511265065829,-0.10725359194533546,1.1317304651535565,1.6926451547821957,0.08162806928157806,1.0236857822690868,False
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l000,0.1,0.0,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1362961592958933,1.7058703558361945,0.08143741637468338,1.0317460595766437,False
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l025,0.1,0.25,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1317022783839288,1.6971971959023926,0.08146213740110397,1.0236149992182413,False
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l050,0.1,0.5,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1271957264314243,1.688688995529763,0.08148696273565292,1.0156396903645741,False
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l075,0.1,0.75,0.5619607058352658,0.0,0.5620 +/- 0.0000,0.0475582781975441,-0.11039042639844965,1.1227795201451032,1.6803531771275535,0.08151192963123322,1.007825434645647,False
