anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,feedback_weight,margin_aug,aug_seen_count,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight
0,0,heartbeat_train_95,1,0.2500000016268818,0.2500000016268818,0.24999999999974998,6.477012995686705,5,1.0,0,small,0.25,1.0,0.25,0,0.0007067063337272804,7.735384039860702,1.5629417474463316,0.7650916639217884,0.9377748540469578,9.363889047077723,7,0.014493531547486782,0.0,0.16611702740192413,0.1588798463344574,-0.007237181067466736,3.2540106773376465,0.9628169536590576
0,1,heartbeat_train_95,1,0.5000000032537636,0.5000000032537636,0.49999999999949996,6.477012995686705,5,1.0,0,mid,0.5,1.0,0.5,1,0.0007340582998162707,7.7159148125041375,2.4159261035309982,1.7513463545777521,0.8683318674564362,7.621995589882135,10,0.014456789940595627,0.0,0.16611702740192413,0.15154607594013214,-0.014570951461791992,3.3182263374328613,0.9650488495826721
0,2,heartbeat_train_95,1,0.9000000058567745,0.9000000058567745,0.8999999999991,6.477012995686705,5,1.0,0,edge,0.9,1.0,0.9,2,0.0008687219286511093,7.684101206451426,4.587103456138189,4.182052879305125,0.8616563677787781,7.583288588161979,7,0.014363852329552174,0.0,0.16611702740192413,0.13969001173973083,-0.0264270156621933,3.427851676940918,0.9685636758804321
1,0,heartbeat_train_55,0,0.2500000034824159,0.2500000034824159,0.24999999999974998,5.3514362221741285,0,1.0,1,small,0.25,1.0,0.25,3,0.0007161248417995454,8.01969252797522,1.0663759277226894,0.27338817341418653,0.251276791293094,-3.3642336751023927,6,-0.0012460123980417848,1.0,0.6849202513694763,0.6815696954727173,-0.003350555896759033,-0.30610835552215576,0.4240649342536926
1,1,heartbeat_train_55,0,0.5000000069648318,0.5000000069648318,0.49999999999949996,5.3514362221741285,0,1.0,1,mid,0.5,1.0,0.5,4,0.0007315597181650154,8.013213174196116,1.1373814432833962,0.5703018053043212,0.2693166773836642,-3.8701616610799516,7,-0.0012081754393875599,1.0,0.6849202513694763,0.6715480089187622,-0.013372242450714111,-0.4201774001121521,0.39647430181503296
1,2,heartbeat_train_55,0,0.9000000125366973,0.9000000125366973,0.8999999999991,5.3514362221741285,0,1.0,1,edge,0.9,1.0,0.9,5,0.0007617120807224694,8.0028285658971,1.2614288541727283,1.1002247508153968,0.3064730791375041,-2.582909472286701,6,-0.00114733399823308,1.0,0.6849202513694763,0.6318596601486206,-0.05306059122085571,-0.7229812145233154,0.32673683762550354
2,0,heartbeat_train_23,0,0.24999999794783856,0.24999999794783856,0.24999999999974998,3.219860862299911,2,-1.0,2,small,0.25,1.0,0.25,6,0.0007053227878935203,8.810298688491704,1.1848673601416628,0.3575178468254293,0.2998065991670226,-4.128833142419656,9,-0.016896849498152733,1.0,0.6542896628379822,0.6701239347457886,0.015834271907806396,0.4342116713523865,0.606878936290741
2,1,heartbeat_train_23,0,0.4999999958956771,0.4999999958956771,0.49999999999949996,3.219860862299911,2,-1.0,2,mid,0.5,1.0,0.5,7,0.0007121071892909746,8.790057128232872,1.4014210896169852,0.7503183591647532,0.21123293125201598,-3.6675030156970023,5,-0.01739920675754547,1.0,0.6542896628379822,0.6833189129829407,0.029029250144958496,0.2818133234977722,0.5699906945228577
2,2,heartbeat_train_23,0,0.8999999926122189,0.8999999926122189,0.8999999999991,3.219860862299911,2,-1.0,2,edge,0.9,1.0,0.9,8,0.0007346182330846598,8.757539954895318,1.8239924330373882,1.4850524364344426,0.148987036086055,-4.406186598870489,9,-0.018235240131616592,1.0,0.6542896628379822,0.6931415796279907,0.038851916790008545,0.006737440824508667,0.5016843676567078
3,0,heartbeat_train_34,0,0.2500000016268818,0.2500000016268818,0.24999999999974998,2.3160291961575155,5,1.0,3,small,0.25,1.0,0.25,9,0.0007000811005331386,10.929471567843107,1.164169847100838,0.348263094840274,0.07111070109087271,-7.365514242513613,11,-0.013463634066283703,1.0,0.23646953701972961,0.23300676047801971,-0.0034627765417099,-2.7129833698272705,0.062211569398641586
3,1,heartbeat_train_34,0,0.5000000032537636,0.5000000032537636,0.49999999999949996,2.3160291961575155,5,1.0,3,mid,0.5,1.0,0.5,10,0.0007012870827744248,10.88520938511306,1.3550515701648553,0.7139294693644705,0.14966890223829224,-6.935519032180309,8,-0.013434380292892456,1.0,0.23646953701972961,0.2294946312904358,-0.006974905729293823,-2.7353200912475586,0.060921091586351395
3,2,heartbeat_train_34,0,0.9000000058567745,0.9000000058567745,0.8999999999991,2.3160291961575155,5,1.0,3,edge,0.9,1.0,0.9,11,0.0007131480660081159,10.815380843417216,1.726177043819425,1.3613886520103122,0.09379525320216657,-10.26356882105271,6,-0.01337023638188839,1.0,0.23646953701972961,0.22458241879940033,-0.011887118220329285,-2.7670199871063232,0.059132590889930725
4,0,heartbeat_train_72,1,0.25000000501917324,0.25000000501917324,0.24999999999974998,3.087382050894861,3,1.0,4,small,0.25,1.0,0.25,12,0.0006992018180988112,10.140816219879298,1.15691839769059,0.32098680281245423,0.9015359708241054,6.588633596897125,7,0.011261310428380966,0.0,0.6688253879547119,0.6628143787384033,-0.006011009216308594,0.5002731084823608,0.6225235462188721
4,1,heartbeat_train_72,1,0.5000000100383465,0.5000000100383465,0.49999999999949996,3.087382050894861,3,1.0,4,mid,0.5,1.0,0.5,13,0.0006988688659059319,10.133420943949792,1.3394241123729425,0.652705933984451,0.7696220449038914,2.8485729077032635,7,0.011278080753982067,0.0,0.6688253879547119,0.6553692817687988,-0.013456106185913086,0.560431718826294,0.6365524530410767
4,2,heartbeat_train_72,1,0.9000000180690236,0.9000000180690236,0.8999999999991,3.087382050894861,3,1.0,4,edge,0.9,1.0,0.9,14,0.0007064337047544523,10.121289101346038,1.694573733743714,1.2286251335967708,0.6189338465531667,0.6555448671181997,3,0.011292926035821438,0.0,0.6688253879547119,0.6400409936904907,-0.02878439426422119,0.6699262857437134,0.6614866256713867
5,0,heartbeat_train_130,1,0.24999999794783856,0.24999999794783856,0.24999999999974998,3.207549502955484,2,-1.0,5,small,0.25,1.0,0.25,15,0.000704683320487612,10.028944884747302,1.144151242181261,0.30433208686516333,0.8614954948425293,4.366026787087321,8,0.015285074710845947,0.0,0.14297056198120117,0.13619683682918549,-0.006773725152015686,3.4617884159088135,0.9695807695388794
5,1,heartbeat_train_130,1,0.4999999958956771,0.4999999958956771,0.49999999999949996,3.207549502955484,2,-1.0,5,mid,0.5,1.0,0.5,16,0.0007095160091531803,10.00847525152849,1.3077787808820724,0.6263385395107561,0.9457684074129377,6.949854535715921,7,0.0154009610414505,0.0,0.14297056198120117,0.12898364663124084,-0.013986915349960327,3.5341081619262695,0.971642792224884
5,2,heartbeat_train_130,1,0.8999999926122189,0.8999999926122189,0.8999999999991,3.207549502955484,2,-1.0,5,edge,0.9,1.0,0.9,17,0.0007246658569324862,9.975697510752237,1.6159497108756802,1.1945503387951972,0.8992928663889567,7.844534390502506,9,0.01560042891651392,0.0,0.14297056198120117,0.11734133958816528,-0.02562922239303589,3.6586737632751465,0.9748806357383728
