dataset,seed,ray_id,anchor_index,direction_id,sign,feedback_weight_small,alignment_cosine_small,transport_error_logeuc_small,feedback_weight_mid,alignment_cosine_mid,transport_error_logeuc_mid,feedback_weight_edge,alignment_cosine_edge,transport_error_logeuc_edge
heartbeat,2,0,0,5,-1.0,0.12459472718084694,0.06574280560016632,10.471799977047864,0.0724691114225493,0.06540431082248688,10.475533008178372,0.15502317740212815,0.06482397019863129,10.482016031708167
heartbeat,2,1,1,4,1.0,0.4656960950233042,0.031065447255969048,7.77714851827625,0.5008428298837316,0.03084520436823368,7.795832389442423,0.6583869259338826,0.030467506498098373,7.825555630954142
heartbeat,2,2,2,1,1.0,0.28957420570908915,0.05331317335367203,8.030053572015342,0.29600347640613717,0.0532856211066246,8.033905249831143,0.2593908441522596,0.05324048548936844,8.039986357112992
heartbeat,2,3,3,2,-1.0,0.9276105463504791,0.06272386014461517,9.973316751514998,0.9453361451625824,0.06252135336399078,9.86693689825582,0.8699389010667801,0.06218915432691574,9.70024814703856
heartbeat,2,4,4,1,-1.0,0.3887066885698154,-0.057414375245571136,9.391201922590605,0.3737225009778437,-0.05743369832634926,9.379940396265274,0.31341507178149186,-0.05746406316757202,9.361867336088496
heartbeat,2,5,5,2,1.0,0.6835220952828726,0.024171680212020874,10.310013191282366,0.8294788658618927,0.02432376891374588,10.415832617421776,0.6548717021942139,0.024566691368818283,10.586470768286512
heartbeat,2,6,6,0,-1.0,0.7823210395872593,0.05885433405637741,10.65239389547129,0.669811915074076,0.058720625936985016,10.670548724347203,0.7984064936637878,0.05850977823138237,10.699659990908797
heartbeat,2,7,7,4,-1.0,0.816028755903244,-0.0261232890188694,10.037077568326723,0.9157755434513092,-0.02393687702715397,10.009912664954717,0.9999367356300354,-0.02030755765736103,9.966350326783799
heartbeat,2,8,8,2,-1.0,0.5990388104692101,-0.04280216246843338,9.628228382056731,0.7508425831794738,-0.042653895914554596,9.53151913798867,0.5888510519483438,-0.042408764362335205,9.379250571578947
heartbeat,2,9,9,4,1.0,0.8887465357780456,0.05134847015142441,11.112767985163632,0.987169067064921,0.05205255746841431,11.130755463209374,0.8649404304368156,0.053070180118083954,11.160997047294224
heartbeat,2,10,10,2,-1.0,0.8877211042812893,-0.006903213448822498,10.568222354728432,0.9556049638324313,-0.0067938510328531265,10.460122260230131,0.9319572523236275,-0.006624035537242889,10.291163184371976
heartbeat,2,11,11,1,1.0,0.9467744320631027,0.07457901537418365,9.324998961259693,0.9367122451464335,0.0745583027601242,9.338508630656372,0.9442208349704743,0.07452426850795746,9.359946517628247
heartbeat,2,12,12,4,-1.0,0.3939655820315238,0.037354711443185806,8.016921683482478,0.37580544031225144,0.03723819553852081,7.99191894517126,0.40495653715657276,0.03699835389852524,7.951781073035656
heartbeat,2,13,13,3,1.0,0.9671387612819672,0.009473441168665886,11.453877507099042,0.9898359179496765,0.009221361950039864,11.455384386349508,0.9558720827102661,0.008829552680253983,11.45843342381897
heartbeat,2,14,14,3,-1.0,0.9442242756485939,-0.02434869110584259,9.957118981830332,0.9308584382136663,-0.0236381683498621,9.94903284293035,0.9510477721691132,-0.022418707609176636,9.93595974178084
heartbeat,2,15,15,2,1.0,0.07434132682036261,-0.06796672195196152,11.48206839216005,0.06540520993883092,-0.06818156689405441,11.606778208025506,0.03319602424360681,-0.0685194581747055,11.810169524357457
heartbeat,2,16,16,1,1.0,0.8734152858907526,0.04427212476730347,10.216022939448694,0.8592816665768623,0.04421726614236832,10.229516378341748,0.9898271049771991,0.044128160923719406,10.251028295103266
heartbeat,2,17,17,1,1.0,0.8613523662090301,-0.029138028621673584,9.32445125696608,0.8613266625574657,-0.029147634282708168,9.329651055157361,0.8281861413270235,-0.029162906110286713,9.3379221849363
