dataset,seed,class_id,prototype_id,prototype_member_count,admitted_anchor_count,anchor_coverage_ratio
selfregulationscp1,1,0,0,22778,8,0.0003512160856967249
selfregulationscp1,1,0,1,14839,8,0.0005391198867848238
selfregulationscp1,1,0,2,16841,8,0.0004750311739207886
selfregulationscp1,1,0,3,18060,8,0.00044296788482834997
selfregulationscp1,1,1,0,20081,8,0.0003983865345351327
selfregulationscp1,1,1,1,14374,8,0.0005565604563795742
selfregulationscp1,1,1,2,15575,8,0.0005136436597110754
selfregulationscp1,1,1,3,21770,8,0.00036747818098300416
