dataset,seed,class_id,prototype_id,trial_id,window_index,opp_class_id,opp_prototype_id,same_dist,opp_dist,epsilon_local,margin_before,margin_after,margin_gain,orig_local_step,shaped_local_step,local_step_distortion_ratio
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,456,0,0,0.60909604201458,0.48921272860559833,0.048921272860559833,-0.11988331340898167,-0.11891795352237289,0.0009653598866087854,0.05359322305723005,0.07231196122304982,1.349274350337743
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,353,0,0,0.7031270754443251,0.5834364518378754,0.05834364518378754,-0.11969062360644966,-0.11881686915511125,0.0008737544513384154,0.027046593114005237,0.06439310677300124,2.3808213663574977
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,352,0,0,0.7015930585481543,0.5819247576793746,0.05819247576793746,-0.11966830086877978,-0.11879200937381418,0.0008762914949655976,0.024072813073817867,0.0434730581374081,1.8058985463851076
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,455,0,0,0.596031985840766,0.476502173540166,0.0476502173540166,-0.1195298123006,-0.11852991403247415,0.000999898268125854,0.03172853373722976,0.042111463838954546,1.327242670200723
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,351,0,0,0.702281881119402,0.5828125502493327,0.05828125502493327,-0.11946933087006939,-0.11858442447391482,0.0008849063961545722,0.021827785498081394,0.041099986856248515,1.88292059493901
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,350,0,0,0.702425869482111,0.5831022575752437,0.05831022575752437,-0.11932361190686736,-0.1184320538855409,0.0008915580213264551,0.023238171881797335,0.04069421209472658,1.7511795808087087
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,457,0,0,0.6308184534345883,0.51153141832543,0.051153141832543006,-0.11928703510915828,-0.11831656704343335,0.0009704680657249276,0.06562215882888373,0.0783005226966024,1.193202480594684
selfregulationscp1,1,1,0,selfregulationscp1_train_n00136,454,0,0,0.5887703910666957,0.46977984853054017,0.04697798485305402,-0.11899054253615554,-0.1179526613275601,0.001037881208595437,0.016397658083073915,0.03163998542589338,1.9295429423884003
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,223,0,1,0.7857195618870294,0.7100400071062258,0.07100400071062259,-0.07567955478080357,-0.07538483106621519,0.0002947237145883852,0.0211143089845202,0.0749134962248159,3.5479965875150437
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,222,0,1,0.7862938253275983,0.710633838635054,0.0710633838635054,-0.07565998669254426,-0.07536488786422657,0.00029509882831768586,0.020568403225745758,0.04688865340541088,2.279644797449308
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,224,0,1,0.7874950019499009,0.711885990469846,0.0711885990469846,-0.07560901148005483,-0.07531284704021124,0.00029616443984359364,0.022276432039779102,0.0489607052758449,2.1978701610929257
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,225,0,1,0.7912139737917362,0.7156710481435916,0.07156710481435917,-0.07554292564814458,-0.07524609522322634,0.0002968304249182374,0.023369046998023675,0.05073195545073357,2.1709039078497288
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,221,0,1,0.7877676692593282,0.7122507544652654,0.07122507544652655,-0.07551691479406275,-0.0752182017780525,0.0002987130160102547,0.022238248861970334,0.04780326427658012,2.149596605977756
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,220,0,1,0.7897796801734646,0.7143962219429888,0.07143962219429888,-0.07538345823047576,-0.07508160357964133,0.0003018546508344322,0.02419019184691871,0.04887589303566998,2.0204838946697183
selfregulationscp1,1,1,1,selfregulationscp1_train_n00230,573,0,0,0.7915047804895649,0.7161280537824589,0.0716128053782459,-0.07537672670710593,0.03379089040164329,0.10916761710874923,0.020777900809912236,0.07474035478209701,3.597108074865851
selfregulationscp1,1,1,1,selfregulationscp1_train_n00159,226,0,1,0.7974460193437823,0.7222422362738912,0.07222422362738912,-0.07520378306989117,-0.0748993996290318,0.0003043834408593682,0.022726911447562368,0.05142617350013757,2.2627876039730603
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,251,0,2,0.6794713985375722,0.5193760840527935,0.05193760840527935,-0.16009531448477876,-0.1590095458506557,0.0010857686341230743,0.05538826548355872,0.07645640724318732,1.3803719357466142
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,252,0,2,0.6892255666241558,0.529369589585525,0.05293695895855251,-0.15985597703863075,-0.15876706299802246,0.0010889140406082909,0.053277038560702955,0.06433979364074444,1.2076458335317712
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,253,0,2,0.6955394791894368,0.5359054619929505,0.053590546199295055,-0.1596340171964863,-0.15853920139090633,0.0010948158055799628,0.05036298743973157,0.06036638649902153,1.1986260062761533
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,250,0,2,0.675835828410502,0.5164640410782142,0.051646404107821425,-0.15937178733228785,-0.1582387247819233,0.0011330625503645497,0.052312771838184446,0.06176142814163792,1.1806185367634572
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,254,0,2,0.6967090799435206,0.5373455814034069,0.0537345581403407,-0.15936349854011367,-0.15825422654265764,0.0011092719974560294,0.047344153604653605,0.056284519708089994,1.1888378062071345
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,245,0,2,0.6649786943222167,0.5056935903933204,0.050569359039332046,-0.15928510392889628,-0.15813379807081795,0.001151305858078322,0.060137941401879044,0.07835374381936769,1.3029003320176749
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,255,0,2,0.6929706181501398,0.5338933597939418,0.05338933597939419,-0.15907725835619801,-0.15794697244348266,0.0011302859127153564,0.048520694843525655,0.057127682516456835,1.1773879723010532
selfregulationscp1,1,1,2,selfregulationscp1_train_n00229,256,0,2,0.6909854599662496,0.5319717734360705,0.05319717734360705,-0.1590136865301791,-0.15787736031821287,0.0011363262119662432,0.05427550978185392,0.06385098202548244,1.1764234418454032
selfregulationscp1,1,1,3,selfregulationscp1_train_n00136,421,0,0,0.7643994505795123,0.6486612153465738,0.06486612153465739,-0.11573823523293847,-0.038761788487190474,0.076976446745748,0.047131801320238316,0.07917739729929751,1.6799145180411101
