arm,n_datasets,n_common_vs_baseline,n_common_vs_mba_core_lraes,n_common_vs_rc4_osf,mean_f1_mean_over_datasets,mean_gain_vs_baseline,win_count_vs_mba_core_lraes,win_count_vs_rc4_osf,mean_delta_vs_mba_core_lraes,mean_delta_vs_rc4_osf
baseline_ce,20,20,20,20,0.6874174676803436,0.0,5,9,-0.030806476828601326,-0.0226210741590325
mba_core_lraes,20,20,20,20,0.7182239445089451,0.030806476828601326,0,14,0.0,0.008185402669568822
mba_feedback_lraes,20,20,20,20,0.7068366866643399,0.01941921898399614,5,10,-0.011387257844605186,-0.003201855175036364
rc4_osf,20,20,20,20,0.7100385418393762,0.0226210741590325,5,0,-0.008185402669568822,0.0
mba_core_rc4_fused_concat,19,19,19,19,0.7164289385472165,0.04497244576138046,10,13,0.0120555420317141,0.020670051419029962
mba_core_spectral_osf_concat,7,7,7,7,0.6631623831368846,0.04192567947528414,2,4,0.01760976997323387,0.03390390500702515
mba_core_zpia_top1_pool,20,20,20,20,0.7314043551114419,0.0439868874310982,10,16,0.013180410602496879,0.0213658132720657
mba_core_zpia_multidir_pool,20,20,20,20,0.7233391595711909,0.03592169189084717,10,12,0.005115215062245852,0.013300617731814674
mba_core_rc4_multiz_fused_concat,20,20,20,20,0.7276176552437424,0.040200187563398805,10,15,0.009393710734797476,0.017579113404366298
