arm,n_datasets,n_common_vs_baseline,n_common_vs_mba_core_lraes,n_common_vs_rc4_osf,mean_f1_mean_over_datasets,mean_gain_vs_baseline,win_count_vs_mba_core_lraes,win_count_vs_rc4_osf,mean_delta_vs_mba_core_lraes,mean_delta_vs_rc4_osf
baseline_ce,20,20,20,20,0.6874174676803436,0.0,5,9,-0.030806476828601326,-0.0226210741590325
mba_core_lraes,20,20,20,20,0.7182239445089451,0.030806476828601326,0,14,0.0,0.008185402669568822
rc4_osf,20,20,20,20,0.7100385418393762,0.0226210741590325,5,0,-0.008185402669568822,0.0
mba_core_rc4_fused_concat,19,19,19,19,0.7164289385472165,0.04497244576138046,10,13,0.0120555420317141,0.020670051419029962
mba_core_zpia_top1_pool,20,20,20,20,0.7314043551114419,0.0439868874310982,10,16,0.013180410602496879,0.0213658132720657
