dataset,arm,n,f1_mean,f1_std,gain_mean,gain_std,gain_pos_rate,white_identity_error_mean,recolor_transport_error_logeuc_mean,edit_energy_mean,feedback_weight_mean,last_aug_margin_mean,mba_vs_baseline_mean_delta,mba_white_edit_vs_baseline_mean_delta,white_edit_vs_mba_mean_delta
atrialfibrillation,baseline_ce,3,0.20684598625775089,0.0372373785188416,0.0,0.0,0.0,,,,,,-0.01851851851851849,0.036675923930825916,0.055194442449344405
atrialfibrillation,mba,3,0.1883274677392324,0.04512236053361184,-0.0185185185185185,0.03207501495497917,0.0,,,,,,-0.01851851851851849,0.036675923930825916,0.055194442449344405
atrialfibrillation,mba_white_edit,3,0.2435219101885768,0.07692316664974573,0.03667592393082587,0.040608830052885896,0.6666666666666666,4.5072845814052874e-17,0.5095954723924864,0.2499999999999901,0.8363149942347298,4.50337553024292,-0.01851851851851849,0.036675923930825916,0.055194442449344405
handwriting,baseline_ce,3,0.250809113264409,0.014466166462489275,0.0,0.0,0.0,,,,,,0.16588922894602343,-0.006231951444816947,-0.17212118039084037
handwriting,mba,3,0.41669834221043245,0.025814100712876483,0.16588922894602345,0.03354524326536948,1.0,,,,,,0.16588922894602343,-0.006231951444816947,-0.17212118039084037
handwriting,mba_white_edit,3,0.24457716181959208,0.019068877522598518,-0.006231951444816901,0.016354596989870174,0.3333333333333333,7.567902036385233e-16,0.5114898041455794,0.2499999999999796,0.5826787018479296,1.6606690287590027,0.16588922894602343,-0.006231951444816947,-0.17212118039084037
natops,baseline_ce,3,0.9216461473091898,0.03828328868791323,0.0,0.0,0.0,,,,,,0.03529429834219289,-0.0053027790297526245,-0.04059707737194551
natops,mba,3,0.9569404456513827,0.016529960285866,0.0352942983421927,0.046771245579529275,1.0,,,,,,0.03529429834219289,-0.0053027790297526245,-0.04059707737194551
natops,mba_white_edit,3,0.9163433682794372,0.03356705899764992,-0.005302779029752701,0.057430604082160684,0.3333333333333333,3.2474415775182395e-15,2.9846601680207008,0.2499999999999646,0.8894650092048435,5.125216431087917,0.03529429834219289,-0.0053027790297526245,-0.04059707737194551
