dataset,base_pia_config,config_id,base_flip_rate_mean,after_refine_flip_rate_mean,base_margin_drop_median_mean,after_refine_margin_drop_median_mean,base_classwise_covariance_distortion_mean,after_refine_classwise_covariance_distortion_mean,base_cond_A_mean,after_refine_cond_A_mean,base_bridge_cov_to_orig_distance_mean,after_refine_bridge_cov_to_orig_distance_mean
natops,g100_k2_pb100,g100_k2_pb100__axis2s070_pb090,0.0,0.0,0.005610181507371248,0.006381396717435317,1.3628780947796446,1.1508813701007268,4.780841197435742,4.04685821525448,0.567491474613917,0.4938484997547194
natops,g100_k2_pb100,g100_k2_pb100__axis2s070_pb095,0.0,0.0,0.005610181507371248,0.006735913951472106,1.3628780947796446,1.2245802399683734,4.780841197435742,4.339419747109125,0.567491474613917,0.5210801424897723
natops,g100_k2_pb100,g100_k2_pb100__axis2s070_pb100,0.0,0.0,0.005610181507371248,0.0070903975708527245,1.3628780947796446,1.2994276128195772,4.780841197435742,4.6473173452932235,0.567491474613917,0.5482897274095635
natops,g100_k2_pb100,g100_k2_pb100__axis2s075_pb090,0.0,0.0,0.005610181507371248,0.00552544876108596,1.3628780947796446,1.1598020782299592,4.780841197435742,4.057523546317223,0.567491474613917,0.4964139009407472
natops,g100_k2_pb100,g100_k2_pb100__axis2s075_pb095,0.0,0.0,0.005610181507371248,0.0058324151091422305,1.3628780947796446,1.2340929705818202,4.780841197435742,4.351233810411734,0.567491474613917,0.5237866241094569
natops,g100_k2_pb100,g100_k2_pb100__axis2s075_pb100,0.0,0.0,0.005610181507371248,0.006139444713158637,1.3628780947796446,1.3095437805041497,4.780841197435742,4.660358188296365,0.567491474613917,0.5511375609209288
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb090,0.0,0.0,0.005610181507371248,0.004794177710207959,1.3628780947796446,1.1688759534515156,4.780841197435742,4.071198705097608,0.567491474613917,0.4991119387093473
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb095,0.0,0.0,0.005610181507371248,0.004986729569638859,1.3628780947796446,1.2437741447725805,4.780841197435742,4.366395246585692,0.567491474613917,0.5266330961273732
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb100,0.0,0.0,0.005610181507371248,0.005179125113128236,1.3628780947796446,1.3198445587592478,4.780841197435742,4.677102793338871,0.567491474613917,0.5541324056544639
