dataset,base_pia_config,config_id,raw_baseline_macro_f1,base_pia_macro_f1,refined_macro_f1,delta_vs_raw_mean,delta_vs_base_pia_mean,per_seed_sign_vs_base_pia,per_seed_sign_vs_raw
natops,g100_k2_pb100,g100_k2_pb100__axis2s070_pb090,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7162 +/- 0.0000,-0.008459350495520934,-0.013269929661326119,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s070_pb095,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7125 +/- 0.0000,-0.012134649239183726,-0.01694522840498891,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s070_pb100,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7180 +/- 0.0000,-0.006581233759627936,-0.01139181292543312,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s075_pb090,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7110 +/- 0.0000,-0.013628903905146816,-0.018439483070952,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s075_pb095,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7144 +/- 0.0000,-0.010232555068181881,-0.015043134233987066,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s075_pb100,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7125 +/- 0.0000,-0.012082870258174006,-0.01689344942397919,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb090,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7108 +/- 0.0000,-0.013850260459925767,-0.01866083962573095,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb095,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.6961 +/- 0.0000,-0.028502233602276772,-0.033312812768081956,-,-
natops,g100_k2_pb100,g100_k2_pb100__axis2s080_pb100,0.7246 +/- 0.0000,0.7294 +/- 0.0000,0.7025 +/- 0.0000,-0.02216447042129588,-0.026975049587101063,-,-
