dataset,seed,arm,status,pipeline,mba_candidate_mode,feedback_margin_polarity,base_f1,act_f1,gain,candidate_total_count,aug_total_count,step_tier_count,feedback_weight_mean,feedback_reject_frac,last_aug_margin_mean,transport_error_logeuc_mean,candidate_audit_csv,tier_summary_csv,ray_summary_csv,E_w_small,E_w_mid,E_w_edge,admission_small,admission_mid,admission_edge,tier_margin_mean_small,tier_margin_mean_mid,tier_margin_mean_edge,tier_transport_error_logeuc_mean_small,tier_transport_error_logeuc_mean_mid,tier_transport_error_logeuc_mean_edge,tier_alignment_cosine_mean_small,tier_alignment_cosine_mean_mid,tier_alignment_cosine_mean_edge,alignment_small_mean,alignment_mid_mean,alignment_edge_mean
natops,1,mba_wide,success,mba,step_tiers,easy,0.8980359751274821,0.9611265421314052,0.06309056700392313,432,432,3,0.0,0.0,0.0,2.9082536549716895,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s1_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s1_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s1_ray_summary.csv,0.9372105318018131,0.9365506789957484,0.9349168920242745,0.9583333333333334,0.9583333333333334,0.9583333333333334,6.122513371209304,6.117210861709383,6.10135061128272,2.910927885324485,2.9092680973311014,2.904564982259483,0.003320205668892918,0.003973936099403848,0.0050100557887667995,0.003320205668892918,0.003973936099403848,0.0050100557887667995
natops,1,mba_wide_feedback_easy,success,mba_feedback,step_tiers,easy,0.9378818148329287,0.9553571428571429,0.017475328024214254,432,432,3,0.9961652755737305,0.0,8.108752250671387,2.907388071976874,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s1_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s1_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s1_ray_summary.csv,0.879400136337686,0.8718372697720359,0.881396355075887,0.9930555555555556,0.9930555555555556,0.9930555555555556,6.03006288889265,5.9519993472026185,5.970309863347353,2.9105218746419017,2.908470545353628,2.9031717959350933,-0.009909295231207378,-0.009059997433925875,-0.007697104935586039,-0.009909295231207378,-0.009059997433925875,-0.007697104935586039
natops,1,mba_wide_feedback_hard,success,mba_feedback,step_tiers,hard,0.9312063385752535,0.9720279720279721,0.04082163345271861,432,432,3,0.04843403026461601,0.9947916666666666,4.861468315124512,2.9036769073362363,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s1_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s1_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s1_ray_summary.csv,0.14772343275358044,0.1475759400707928,0.14405002321726915,0.0,0.0,0.0,3.6294069107379565,3.591580587471049,3.624229358795612,2.90885465052097,2.9051032296793697,2.8970728418083684,-0.015179617343366973,-0.01434638439807006,-0.012990086627218666,-0.015179617343366973,-0.01434638439807006,-0.012990086627218666
natops,2,mba,success,mba,core,easy,0.9117150845191418,0.9501670843776107,0.03845199985846881,144,144,0,0.0,0.0,0.0,2.9144909604720812,,,,,,,,,,,,,,,,,,,,,
natops,2,mba_feedback_easy,success,mba_feedback,core,easy,0.9272658752590918,0.9486566994042122,0.02139082414512039,144,144,0,0.9928938746452332,0.0,7.8011627197265625,2.9141933041085184,,,,,,,,,,,,,,,,,,,,,
natops,2,mba_wide,success,mba,step_tiers,easy,0.9609006971923874,0.9372713186158462,-0.023629378576541127,432,432,3,0.0,0.0,0.0,2.911152500041714,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s2_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s2_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s2_ray_summary.csv,0.9749919722477595,0.9742265658246146,0.9725482414166132,0.9930555555555556,0.9930555555555556,0.9930555555555556,5.481470538510217,5.464247505697939,5.4292971226904125,2.9140375972728716,2.9121764289269425,2.907243473925329,-0.012515116754608849,-0.011905460165710084,-0.010902632202487439,-0.012515116754608849,-0.011905460165710084,-0.010902632202487439
natops,2,mba_wide_feedback_easy,success,mba_feedback,step_tiers,easy,0.9264679126435915,0.9451908245011693,0.018722911857577795,432,432,3,0.9893705248832703,0.010416666666666666,7.950933933258057,2.9113341824246324,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s2_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s2_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s2_ray_summary.csv,0.8729782915165261,0.8654744863135311,0.867195028674941,0.9930555555555556,0.9930555555555556,1.0,5.7349804680719325,5.65542528488652,5.752646162865707,2.91421100687536,2.9124196418069777,2.907371898591558,-0.004712307621957734,-0.004134721601278418,-0.003206536636248024,-0.004712307621957734,-0.004134721601278418,-0.003206536636248024
natops,2,mba_wide_feedback_hard,success,mba_feedback,step_tiers,hard,0.9319082824386585,0.949474665717116,0.017566383278457498,432,432,3,0.014251022599637508,0.9947916666666666,5.836487293243408,2.911374061230095,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s2_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s2_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s2_ray_summary.csv,0.14291245032919442,0.14831383144452961,0.149809243707231,0.0,0.0,0.0,3.6800926032093013,3.60872854213907,3.635055686348655,2.9141653419209437,2.9123987746197506,2.907558067149591,0.017266506199828453,0.017766438405184697,0.018566386127430532,0.017266506199828453,0.017766438405184697,0.018566386127430532
natops,3,mba,success,mba,core,easy,0.9239699947164349,0.9490705843952116,0.025100589678776708,144,144,0,0.0,0.0,0.0,2.9215862732694475,,,,,,,,,,,,,,,,,,,,,
natops,3,mba_feedback_easy,success,mba_feedback,core,easy,0.927422358648026,0.9237902057374674,-0.003632152910558628,144,144,0,0.9668624401092529,0.020833333333333332,6.81300687789917,2.9207139864658966,,,,,,,,,,,,,,,,,,,,,
natops,3,mba_wide,success,mba,step_tiers,easy,0.9137683242311008,0.9220396705078122,0.008271346276711444,432,432,3,0.0,0.0,0.0,2.9144763945861976,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s3_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s3_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/natops/audit/natops_s3_ray_summary.csv,0.9421247142211845,0.9398776938517889,0.9362921599143496,0.9513888888888888,0.9513888888888888,0.9444444444444444,5.1937637569175825,5.193656836118963,5.189890590806802,2.9191650958304343,2.9158087168123887,2.908455371115773,0.02003451949632209,0.020752428846511368,0.021874918583004426,0.02003451949632209,0.020752428846511368,0.021874918583004426
natops,3,mba_wide_feedback_easy,success,mba_feedback,step_tiers,easy,0.8955213834004891,0.9384766285094015,0.042955245108912354,432,432,3,0.9880623817443848,0.005208333333333333,8.11769962310791,2.9210093857469017,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s3_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s3_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/natops/audit/natops_s3_ray_summary.csv,0.8668784863212561,0.8719873355689862,0.8748708080069473,0.9861111111111112,1.0,0.9930555555555556,5.76186150517162,5.778122118314162,5.870587585477373,2.922068697645365,2.9216952526012587,2.919264206994083,0.007505269229619039,0.00858906788764418,0.010308402325285392,0.007505269229619039,0.00858906788764418,0.010308402325285392
natops,3,mba_wide_feedback_hard,success,mba_feedback,step_tiers,hard,0.9157976838423703,0.9443206954476787,0.028523011605308457,432,432,3,0.030811598524451256,0.9947916666666666,6.009199619293213,2.921514710607954,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s3_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s3_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/natops/audit/natops_s3_ray_summary.csv,0.12067878887103506,0.1194879131639718,0.11424606914441791,0.0,0.0,0.0,4.21182050671692,4.2251688147537045,4.289723114308616,2.922392491988163,2.922229958442137,2.919921681393563,0.011650312733965822,0.012392006846817417,0.013556965028530814,0.011650312733965822,0.012392006846817417,0.013556965028530814
