dataset,mba_n,mba_mean_f1,mba_std_f1,mba_feedback_easy_n,mba_feedback_easy_mean_f1,mba_feedback_easy_std_f1,mba_wide_n,mba_wide_mean_f1,mba_wide_std_f1,mba_wide_feedback_easy_n,mba_wide_feedback_easy_mean_f1,mba_wide_feedback_easy_std_f1,mba_wide_feedback_hard_n,mba_wide_feedback_hard_mean_f1,mba_wide_feedback_hard_std_f1,mba_wide_feedback_easy_tau2_mean_f1,mba_wide_feedback_hard_tau2_mean_f1,matched_ce_mean_f1,mba_wide_vs_mba_delta,wide_easy_vs_core_feedback_delta,wide_hard_vs_wide_easy_delta,collapse_seed_count,edge_alignment_mean_easy,edge_transport_mean_easy,edge_transport_mean_hard,edge_weight_mean_easy,edge_weight_mean_hard,conclusion
natops,3,0.9454541166565745,0.007234307109910163,3,0.9249058908678646,0.023213083283388166,3,0.9401458437516879,0.019701346512288182,3,0.9463415319559045,0.008498884450083042,3,0.9552744443975889,0.014736056746330394,,,0.9326600798574107,-0.005308272904886668,0.02143564108803997,0.00893291244168437,0,-0.00019841308218289042,2.909935967173578,2.9081841967838407,0.8744873972525917,0.1360351120229727,candidate_space_was_too_narrow
heartbeat,3,0.620002975549194,0.04371165701989495,3,0.6587604876467724,0.029757001963649176,3,0.6299046930041052,0.018941321149292076,3,0.6675769679841791,0.019960029883110117,3,0.6264033687110611,0.04200939524459332,,,0.657342196507943,0.009901717454911196,0.008816480337406674,-0.04117359927311803,0,2.9233717340557017e-05,9.564559930258302,9.579464320274056,0.7278442689636879,0.3426958749878628,candidate_space_was_too_narrow
atrialfibrillation,3,0.29962259962259963,0.02887971825945364,3,0.3047138047138047,0.05892648532627646,3,0.20179235968709652,0.10641976937215931,3,0.23246753246753246,0.05700001824711034,3,0.2404040404040404,0.06473321200004896,,,0.23454323454323456,-0.0978302399355031,-0.07224627224627225,0.007936507936507936,0,0.03187178387694682,0.03209625440393932,0.02992078472384547,0.5103735514547485,0.43576094340292326,insufficient_data
