dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,warmup_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,act_stop_epoch,warmup_stop_epoch,f1_gain_pct,base_best_val_f1,act_best_val_f1,warmup_best_val_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss
atrialfibrillation,1,success,lraes,resnet1d,gcg_acl,0.24019607843137256,0.20000000000000004,-0.04019607843137252,0.14035087719298245,0.00012900132219013398,0.02718452299682667,1.027780356697228,0.08729821690762113,0.9999999999989999,1.0436398834191232,0.010476801951881498,0.4583333333333333,18,20,10,-16.734686910456865,1.0,0.5555555555555555,0.2222222222222222,12,12,48,0.8219699420728043,0.9737888658802946,0.017222100868821144,1.9497053623199463
atrialfibrillation,2,success,lraes,resnet1d,gcg_acl,0.26495726495726496,0.20000000000000004,-0.06495726495726492,0.19907407407407407,0.000128308967079696,0.03288606473164362,1.0465555817981762,0.10282242533643153,0.9999999999989999,1.0337744319694806,-0.03538556508525895,0.5416666666666666,20,20,10,-24.51611977939994,0.5555555555555555,0.2222222222222222,0.5555555555555555,12,12,48,0.7865173221278221,0.9675439470266256,0.013378772884607315,1.9496057033538818
atrialfibrillation,3,success,lraes,resnet1d,gcg_acl,0.32051282051282054,0.11428571428571428,-0.20622710622710627,0.16666666666666666,0.00012605556595525152,0.03225419913578701,1.04898040434151,0.10675960806476037,0.9985989262365331,0.8437962472454096,0.015377545224813124,0.4583333333333333,12,20,10,-64.34283706789199,1.0,0.5555555555555555,0.16666666666666666,12,12,48,0.7709519326925464,0.9691389061421091,0.011653642170131207,1.947178840637207
