dataset,seed,arm,response_vs_margin_correlation,activation_coverage_ratio,margin_gain_per_unit_distortion,template_mean_direction_cosine,operator_to_step_ratio_mean,preactivation_clip_rate,gate_saturation_ratio,budget_scale_factor
natops,1,f1_fast_mainline,-0.06181198789561836,0.001388888888888889,-0.030559225778311386,0.08608425128425212,0.07660159939983027,0.010532407407407407,0.00011574074074074075,5.94003135597131
natops,1,r0_post_fast_refit_no_rebuild,-0.08549978154920058,0.00034722222222222224,-0.2507235485022627,-0.0803808091199241,0.07662868313154843,0.011689814814814814,0.0,8.709668137233804
natops,1,p0b_lite_delayed_refresh,-0.07716615182267031,0.03981481481481482,-0.18679317366931636,0.07004445973807306,0.07668315087777738,0.013425925925925926,0.0024305555555555556,3.081274758296861
