dataset,seed,arm,fit_window_count,fit_trial_count,applied_window_count_total,operator_norm_mean,operator_norm_p95,operator_to_step_ratio_mean,local_step_distortion_ratio_mean,local_step_distortion_ratio_p95,operator_direction_stability,response_vs_margin_correlation,activation_coverage_ratio,preactivation_clip_rate,response_centering_std_after_fix,gate_saturation_ratio,geometry_coupling_mean,geometry_coupling_abs_mean,budget_scale_factor,fit_mode,fit_target_mode,target_mode,response_stats_mode,template_count,template_readout_mode,weight_kernel_name,template_mean_direction_cosine,effective_sample_size,effective_sample_ratio,same_opp_count_ratio,same_opp_weight_mass_ratio,same_pool_count,opp_pool_count,same_weight_mass,opp_weight_mass,discriminative_target_gap,opp_pair_rule,pool_mode
uwavegesturelibrary,1,f1_fast_mainline,512,53,111320,0.018574120523962963,0.0480156224307218,0.6271616364061781,2.9626351124572485,1.0174998784016362,0.999999999999,0.050362458330944895,0.24882321236076177,0.021424721523535754,0.8856742166481603,0.04530183255479698,0.0,0.0,2.5156989214115097,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-0.1152263980845448,356.328823470269,0.6959547333403692,1.0,1.0000000000973714,256,256,31.99999991148979,31.99999990837391,2.0,nearest_opposite_prototype,bipolar_same_opp
uwavegesturelibrary,1,r0_post_fast_refit_no_rebuild,512,53,111320,0.07692939515366952,0.1966272016522989,0.592200022277199,2.024374588782576,1.0702456288896869,0.9999999999990001,0.07574352669469353,0.2160707869205893,0.021613366870283868,0.8203190269546888,0.0334800574919152,0.0,0.0,10.96443926942514,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.06618837096028964,324.90541597008905,0.6345808905665802,1.0,0.9999999999752119,256,256,31.999999908056903,31.99999990885012,2.0,nearest_opposite_prototype,bipolar_same_opp
uwavegesturelibrary,1,p0b_lite_delayed_refresh,512,51,111320,0.07515132281932314,0.2075280250165084,0.5856559890572021,2.090206039990906,1.0779193514740213,0.9999999999990001,0.1572727623965955,0.18024613726194755,0.0244699964067553,0.84663018669174,0.042427236794825726,0.0,0.0,11.169246123146726,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.018423227535531925,367.33665244870025,0.7174543993138677,1.0,1.000000000053364,256,256,31.99999991242619,31.999999910718543,2.0,nearest_opposite_prototype,bipolar_same_opp
