dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir
natops,1,success,lraes,resnet1d,act,0.9373000436629222,0.9378532934319574,0.0005532497690352578,0.059025891842199585,15,15,0.972027972027972,0.9458874458874459,0.00044500501808697506,2.912017841915117,1.257394981916084,0.38897442937924953,0.9999999999899999,5.820767164174551,0.0,0.0,144,144,10,10
natops,2,success,lraes,resnet1d,act,0.94962180852706,0.9664767991108641,0.01685499058380413,1.774915935748321,15,15,0.9444444444444445,0.972027972027972,0.0004453819908837041,2.9144802376274237,1.2792625619976725,0.41223979370008107,0.9999999999899999,5.7362806886113855,0.0,0.0,144,144,10,10
natops,3,success,lraes,resnet1d,act,0.8780165897375874,0.9664912444113263,0.08847465467373883,10.076648394938964,15,15,0.9458874458874459,0.9458874458874459,0.00044576689687773105,2.9220661090987554,1.2799531770270252,0.41483529621354426,0.9999999999899999,5.643837013582446,0.0,0.0,144,144,10,10
