anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
2,atrialfibrillation_train_0,0,0,7,-1.0,0.1,0.1,1.0,0.25115601974636104,0.99999999999,0.5023120394932244,lraes,lraes,lraes,0.00012633795840611317,0.023744049292303518,1.1204244079158714,0.15912322148712882,0.3596230745315552,0.5889491879703521
0,atrialfibrillation_train_1,0,0,1,-1.0,0.1,0.1,0.9999999403953552,0.24648825036181468,0.99999999999,0.4929764713404331,lraes,lraes,lraes,0.00011674144453658938,0.026868525444804506,1.011150375153647,0.09700858494678136,0.34919148683547974,0.5864215028602825
6,atrialfibrillation_train_11,2,0,7,1.0,0.1,0.1,1.0,0.3029302949274423,0.99999999999,0.6058605898554905,lraes,lraes,lraes,0.0001322261206947688,0.013747099739961948,1.1048574879971573,0.1486748266326476,-1.1030631065368652,0.24916640057552975
4,atrialfibrillation_train_12,2,0,3,-1.0,0.1,0.1,1.0,0.5963419770576299,0.99999999999,1.1926839541164527,lraes,lraes,lraes,0.00012635186635303212,0.002222467949939263,1.0975477310270347,0.1307598259489622,-0.7259584665298462,0.3260822399215222
9,atrialfibrillation_train_13,2,0,6,-1.0,0.1,0.1,1.0,1.8324726290679858,0.99999999999,3.6649452581396367,lraes,lraes,lraes,0.00013122413635288988,0.007462098310635894,1.1426470016558448,0.1913299857432117,-0.8585840463638306,0.29763526381660466
1,atrialfibrillation_train_14,2,0,6,-1.0,0.1,0.1,1.0,0.6860882464316801,0.99999999999,1.3721764928647324,lraes,lraes,lraes,0.00013155194780621005,0.12172338542565325,1.149762219159503,0.20040128387903325,-0.4856780767440796,0.3809122295212177
3,atrialfibrillation_train_2,0,0,6,1.0,0.1,0.1,1.0,0.5763448512249463,0.99999999999,1.1526897024510454,lraes,lraes,lraes,0.0001288114065667446,0.00542665336781714,1.125710996150404,0.16694410148436326,0.8726389408111572,0.7052945098406875
8,atrialfibrillation_train_4,0,0,5,-1.0,0.1,0.1,0.9999999403953552,0.2647050066364663,0.99999999999,0.5294099817181662,lraes,lraes,lraes,0.0001276213882485365,0.01809029749548906,1.0850843821094323,0.11505736135701788,0.49541598558425903,0.6213814676203382
7,atrialfibrillation_train_5,1,0,0,-1.0,0.1,0.1,1.0,0.24648823566997005,0.99999999999,0.4929764713404331,lraes,lraes,lraes,0.00011813251846646613,0.03572243682307505,1.0343487594776144,0.09533626197576342,-0.0071829259395599365,0.49820427623588126
5,atrialfibrillation_train_7,1,0,2,1.0,0.1,0.1,1.0,0.435047399206933,0.99999999999,0.8700947984147362,lraes,lraes,lraes,0.00013852622592500457,0.028867475543218068,1.0476467977736845,0.1225520698878928,0.17437586188316345,0.5434838370633848
