dataset,method,macro_f1_mean,macro_f1_std,gain_mean,n_seeds,feasible_rate_mean,selector_accept_rate_mean,fv_score_mean_mean,fidelity_score_mean_mean,variety_score_mean_mean,relevance_score_mean_mean,safe_balance_score_mean_mean,template_usage_entropy_mean,top_template_concentration_mean,safe_radius_ratio_mean_mean,gamma_used_mean_mean,z_displacement_norm_mean_mean,transport_error_logeuc_mean_mean,post_bridge_reject_count_mean,aug_valid_rate_mean,pre_filter_reject_count_mean,reject_reason_zero_gamma_mean,reject_reason_safe_radius_mean,reject_reason_bridge_fail_mean,reject_reason_transport_error_mean
atrialfibrillation,csta_fv_filter_top5,0.18587153587153585,0.11557332414636459,-0.0486716986716986,3,1.0,0.10000000000000002,1.0585561490320339,0.749829818640167,0.6174526607837337,0.4040004249168752,0.3458293937232917,2.141487576294956,0.2083333333333333,0.1796043560184805,0.10000000000000002,0.09999999998233795,0.0307888963266824,0.0,1.0,0.0,0.0,0.0,0.0,0.0
atrialfibrillation,csta_fv_score_top5,0.1478644811978145,0.025422223629564655,-0.08667875334541993,3,1.0,0.10000000000000002,1.4942918724703735,1.113384009274757,0.7618157263912334,0.6001494338763856,0.513234575398371,1.9574950655811867,0.3138888888888889,0.17960435692616503,0.10000000000000002,0.10000000048793717,0.030921244716196904,0.0,1.0,0.0,0.0,0.0,0.0,0.0
atrialfibrillation,csta_random_feasible_selector,0.18587153587153585,0.11557332414636459,-0.0486716986716986,3,1.0,0.10000000000000002,1.0585561490320339,0.749829818640167,0.6174526607837337,0.4040004249168752,0.3458293937232917,2.141487576294956,0.2083333333333333,0.1796043560184805,0.10000000000000002,0.09999999998233795,0.0307888963266824,0.0,1.0,0.0,0.0,0.0,0.0,0.0
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.03399933399933403,3,1.0,1.0,,,,,,1.6951126098834415,0.3055555555555555,0.17960435569349997,0.10000000000000002,0.09999999983321894,0.030883898238377335,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ering,csta_fv_filter_top5,0.7918918383017265,0.03600128530357418,0.04497043045713006,3,1.0,0.10000000000000002,1.2828881851696436,0.9328008026000499,0.7001747651391869,0.42011750597075387,0.5126832966292961,2.1836403496168812,0.17499999999999996,0.14417342562652546,0.10000000000000002,0.09999999966429857,0.0013234772085269,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ering,csta_fv_score_top5,0.8478551043676806,0.03653663002497792,0.10093369652308416,3,1.0,0.10000000000000002,1.6909846347632846,1.3226496717170142,0.7366699260925405,0.6217944534478724,0.7008552182691418,2.0983043628547122,0.2569444444444444,0.14417342639148398,0.10000000000000002,0.10000000021473297,0.0013228404901110668,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ering,csta_random_feasible_selector,0.7918918383017265,0.03600128530357418,0.04497043045713006,3,1.0,0.10000000000000002,1.2828881851696436,0.9328008026000499,0.7001747651391869,0.42011750597075387,0.5126832966292961,2.1836403496168812,0.17499999999999996,0.14417342562652546,0.10000000000000002,0.09999999966429857,0.0013234772085269,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000802,3,1.0,1.0,,,,,,1.9836156303531973,0.2638888888888889,0.14417342594165528,0.10000000000000002,0.09999999992043594,0.0013230440131503,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handmovementdirection,csta_fv_filter_top5,0.27629162857395867,0.03360249513114516,0.06660035400594193,3,1.0,0.10000000000000002,1.291258611544251,0.9885998842595402,0.6053174545694217,0.43632304419212214,0.552276840067418,2.2837035716811047,0.12812500000000002,0.1373530887465194,0.09999999999999991,0.09999999995713131,1.113034966085578e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handmovementdirection,csta_fv_score_top5,0.2922125181675038,0.04940634960987246,0.0825212435994871,3,1.0,0.10000000000000002,1.6950593359072255,1.3737057768353413,0.642707118143768,0.6375395902312893,0.7361661866040524,2.1195361843786853,0.20677083333333335,0.13735308917028163,0.09999999999999991,0.1000000002632036,1.1129868092522292e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handmovementdirection,csta_random_feasible_selector,0.27629162857395867,0.03360249513114516,0.06660035400594193,3,1.0,0.10000000000000002,1.291258611544251,0.9885998842595402,0.6053174545694217,0.43632304419212214,0.552276840067418,2.2837035716811047,0.12812500000000002,0.1373530887465194,0.09999999999999991,0.09999999995713131,1.113034966085578e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.062701899208671,3,1.0,1.0,,,,,,2.2580422624471654,0.14583333333333334,0.13735308875579885,0.09999999999999991,0.09999999996548899,1.1130233977571253e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0
