dataset,method,macro_f1_mean,macro_f1_std,gain_mean,n_seeds,feasible_rate_mean,selector_accept_rate_mean,fv_score_mean_mean,fidelity_score_mean_mean,variety_score_mean_mean,relevance_score_mean_mean,safe_balance_score_mean_mean,template_usage_entropy_mean,top_template_concentration_mean,safe_radius_ratio_mean_mean,gamma_used_mean_mean,z_displacement_norm_mean_mean,transport_error_logeuc_mean_mean,post_bridge_reject_count_mean,aug_valid_rate_mean,pre_filter_reject_count_mean,reject_reason_zero_gamma_mean,reject_reason_safe_radius_mean,reject_reason_bridge_fail_mean,reject_reason_transport_error_mean
handwriting,csta_fv_filter_top5,0.4477881140836697,0.015113679460715769,0.047688096395893366,3,1.0,0.10000000000000002,1.2577642880064603,0.9372570167505235,0.6410145425118736,0.43405626437615014,0.5032007523743736,2.2015511744188125,0.1505555555555555,0.6514045033837349,0.0960271826114358,0.09602718263524969,0.0003225657638037667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handwriting,csta_fv_score_top5,0.4322837718467311,0.053020745861198336,0.03218375415895473,3,1.0,0.10000000000000002,1.6623399155424259,1.2942455150368672,0.7361888010111173,0.6427572307043798,0.6514882843324874,2.062351108009364,0.21527777777777776,0.6514045046362731,0.0960271826102961,0.09602718294045724,0.0003229289119817,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handwriting,csta_random_feasible_selector,0.4477881140836697,0.015113679460715769,0.047688096395893366,3,1.0,0.10000000000000002,1.2577642880064603,0.9372570167505235,0.6410145425118736,0.43405626437615014,0.5032007523743736,2.2015511744188125,0.1505555555555555,0.6514045033837349,0.0960271826114358,0.09602718263524969,0.0003225657638037667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
handwriting,csta_topk_uniform_top5,0.4680564886832321,0.011426032686779424,0.0679564709954557,3,1.0,1.0,,,,,,2.181205195183892,0.16388888888888883,0.6514045036049999,0.09602718261310533,0.09602718264559347,0.00032264816800470003,0.0,1.0,0.0,0.0,0.0,0.0,0.0
japanesevowels,csta_fv_filter_top5,0.9751839604530446,0.006756186830692968,0.009033001420665633,3,1.0,0.10000000000000002,1.2271023203657359,0.9633580398590494,0.5274885610133726,0.4395391924910838,0.5238188473679657,2.2855186865579795,0.13287037037037033,0.0249543899035171,0.09999999999999991,0.09999999993617782,2.4500636528782946,0.0,1.0,0.0,0.0,0.0,0.0,0.0
japanesevowels,csta_fv_score_top5,0.9837435083023619,0.0026013695973223965,0.01759254926998297,3,1.0,0.10000000000000002,1.619340664417302,1.3561181570365932,0.5264450147614176,0.6492426441052197,0.7068755129313735,2.1240013845248513,0.20339506172839505,0.024954389962305867,0.09999999999999991,0.1000000001721522,2.4508587570531817,0.0,1.0,0.0,0.0,0.0,0.0,0.0
japanesevowels,csta_random_feasible_selector,0.9751839604530446,0.006756186830692968,0.009033001420665633,3,1.0,0.10000000000000002,1.2271023203657359,0.9633580398590494,0.5274885610133726,0.4395391924910838,0.5238188473679657,2.2855186865579795,0.13287037037037033,0.0249543899035171,0.09999999999999991,0.09999999993617782,2.4500636528782946,0.0,1.0,0.0,0.0,0.0,0.0,0.0
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,3,1.0,1.0,,,,,,2.2713935434346926,0.15123456790123457,0.024954389895034266,0.09999999999999991,0.09999999990052837,2.4500527003241537,0.0,1.0,0.0,0.0,0.0,0.0,0.0
natops,csta_fv_filter_top5,0.949128147239647,0.014621734556902898,0.02748561495647077,3,1.0,0.10000000000000002,1.2157757740297337,0.9470781057529648,0.5373953365535389,0.4352480222906489,0.5118300834623158,2.1585669043182207,0.18703703703703697,0.0245111551410281,0.10000000000000002,0.09999999998224153,2.916039868834595,0.0,1.0,0.0,0.0,0.0,0.0,0.0
natops,csta_fv_score_top5,0.9563961253506607,0.01277321534853078,0.0347535930674844,3,1.0,0.10000000000000002,1.612556935037275,1.3456047006697949,0.5339044687349608,0.6599365765672509,0.685668124102544,1.8108313949997534,0.3442129629629629,0.024511155162850736,0.10000000000000002,0.1000000000723249,2.9159099585609383,0.0,1.0,0.0,0.0,0.0,0.0,0.0
natops,csta_random_feasible_selector,0.949128147239647,0.014621734556902898,0.02748561495647077,3,1.0,0.10000000000000002,1.2157757740297337,0.9470781057529648,0.5373953365535389,0.4352480222906489,0.5118300834623158,2.1585669043182207,0.18703703703703697,0.0245111551410281,0.10000000000000002,0.09999999998224153,2.916039868834595,0.0,1.0,0.0,0.0,0.0,0.0,0.0
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.039227108151362565,3,1.0,1.0,,,,,,2.1752377404048526,0.18518518518518515,0.024511155140968632,0.10000000000000002,0.09999999998603255,2.9159347387602406,0.0,1.0,0.0,0.0,0.0,0.0,0.0
racketsports,csta_fv_filter_top5,0.8574626319612273,0.0319133049427897,-0.012144867710796967,3,1.0,0.10000000000000002,1.2382949291269043,0.9660068756631447,0.54457610692752,0.4414469509208258,0.5245599247423187,2.282737685364973,0.1397222222222222,0.06527445345677647,0.10000000000000002,0.10000000006436223,0.00012603426466313333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
racketsports,csta_fv_score_top5,0.8619636254671699,0.02837452937047938,-0.007643874204854434,3,1.0,0.10000000000000002,1.6180408941218365,1.3464188773340726,0.5432440335755283,0.6519390716329947,0.6944798057010777,2.1573421251255915,0.1708333333333333,0.0652744537422475,0.10000000000000002,0.10000000050016679,0.00012602006160636667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
racketsports,csta_random_feasible_selector,0.8574626319612273,0.0319133049427897,-0.012144867710796967,3,1.0,0.10000000000000002,1.2382949291269043,0.9660068756631447,0.54457610692752,0.4414469509208258,0.5245599247423187,2.282737685364973,0.1397222222222222,0.06527445345677647,0.10000000000000002,0.10000000006436223,0.00012603426466313333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.0181739489037295,3,1.0,1.0,,,,,,2.2657073028711605,0.14999999999999997,0.06527445340659373,0.10000000000000002,0.10000000000170405,0.0001260060181049,0.0,1.0,0.0,0.0,0.0,0.0,0.0
