dataset,csta_fv_filter_top5,csta_fv_score_top5,csta_random_feasible_selector,csta_top1_current,csta_topk_uniform_top5,dba_sameclass,pca_cov_state,random_cov_state,wdba_sameclass,csta_fv_filter_top5_minus_uniform_top5,csta_fv_filter_top5_minus_wdba,csta_fv_score_top5_minus_uniform_top5,csta_fv_score_top5_minus_wdba,csta_random_feasible_selector_minus_uniform_top5,csta_random_feasible_selector_minus_wdba
atrialfibrillation,0.18587153587153585,0.1478644811978145,0.18587153587153585,0.17670847670847667,0.26854256854256847,0.2589506172839506,0.11259666259666257,0.17222222222222217,0.3112763779430446,-0.08267103267103262,-0.12540484207150873,-0.12067808734475396,-0.16341189674523007,-0.08267103267103262,-0.12540484207150873
ering,0.7918918383017265,0.8478551043676806,0.7918918383017265,0.837231988455564,0.8205151780046046,0.8338175766315175,0.8501776214953166,0.7878228568457231,0.7726425828702798,-0.028623339702878114,0.019249255431446732,0.027339926363076028,0.07521252149740087,-0.028623339702878114,0.019249255431446732
handmovementdirection,0.27629162857395867,0.2922125181675038,0.27629162857395867,0.2754524178509126,0.2723931737766877,0.35262496501639,0.2976569238271552,0.2903481591789633,0.36940528831465413,0.003898454797270967,-0.09311365974069546,0.019819344390816118,-0.07719277014715031,0.003898454797270967,-0.09311365974069546
handwriting,0.4477881140836697,0.4322837718467311,0.4477881140836697,0.46049183816916345,0.4680564886832321,0.38789929123753014,0.4674405889172227,0.4643840351655004,0.40327345356016026,-0.020268374599562378,0.04451466052350944,-0.03577271683650096,0.029010318286570858,-0.020268374599562378,0.04451466052350944
japanesevowels,0.9751839604530446,0.9837435083023619,0.9751839604530446,0.97049413005379,0.9785341333074079,0.9800850697535949,0.9701810617784151,0.9839705286795409,0.9748549646117772,-0.0033501728543633424,0.00032899584126733217,0.005209374994953997,0.008888543690584672,-0.0033501728543633424,0.00032899584126733217
natops,0.949128147239647,0.9563961253506607,0.949128147239647,0.9607853534384795,0.9608696404345388,0.9572815415000319,0.9512742307142527,0.9535241013126406,0.9471451759840152,-0.011741493194891817,0.001982971255631849,-0.004473515083878166,0.0092509493666455,-0.011741493194891817,0.001982971255631849
racketsports,0.8574626319612273,0.8619636254671699,0.8574626319612273,0.8721055206171656,0.8877814485757538,0.872503601911864,0.8798842950588853,0.8846388859417199,0.8968577312346774,-0.03031881661452651,-0.039395099273450085,-0.025817823108583937,-0.03489410576750751,-0.03031881661452651,-0.039395099273450085
