method,n_datasets,mean_f1,mean_rank,win_count,mean_delta_vs_uniform_top5,win_count_vs_uniform_top5,mean_delta_vs_wdba,win_count_vs_wdba
wdba_sameclass,7,0.6679222249312299,5.142857142857143,3,0.002680420456259301,3.0,0.0,0
csta_topk_uniform_top5,7,0.6652418044749704,3.4285714285714284,2,,,-0.002680420456259301,4
dba_sameclass,7,0.6633089519049827,4.142857142857143,0,-0.0019328525699877721,3.0,-0.004613273026247073,3
csta_top1_current,7,0.6504671036133646,5.285714285714286,0,-0.014774700861605927,2.0,-0.017455121317865228,3
random_cov_state,7,0.6481301127637586,4.571428571428571,1,-0.01711169171121185,2.0,-0.019792112167471152,4
pca_cov_state,7,0.6470301977697014,4.857142857142857,1,-0.018211606705269032,2.0,-0.020892027161528333,3
csta_fv_score_top5,7,0.6460455906714175,4.857142857142857,0,-0.019196213803552985,3.0,-0.021876634259812285,4
csta_fv_filter_top5,7,0.6405168366406871,6.357142857142857,0,-0.024724967834283403,1.0,-0.027405388290542704,4
csta_random_feasible_selector,7,0.6405168366406871,6.357142857142857,0,-0.024724967834283403,1.0,-0.027405388290542704,4
