dataset,seed,class_id,prototype_id,fit_anchor_count,fit_anchor_margin_mean,fit_anchor_same_dist_mean,anchor_coverage_ratio_mean,arm,weight_mean,weight_min,weight_max,effective_sample_size
natops,1,0,2,8,1.5069689063347007,3.2825226152070544,,soft_weighted_fit,0.3680160724591218,0.35466472993751996,0.38477204539054094,7.9940224911163575
natops,1,0,3,8,1.449892007164888,3.6591817966877294,,soft_weighted_fit,0.3679006726349233,0.36125779871404945,0.3715476955956036,7.999082496341705
natops,1,1,0,8,0.07289349594187888,3.798332794343885,,soft_weighted_fit,0.36816473540351785,0.34378162353349767,0.3824291309935667,7.987751139121067
natops,1,1,1,8,0.7180726574524804,3.577446430974101,,soft_weighted_fit,0.36798528800571806,0.3613252633776117,0.39033932014926714,7.995266006841697
natops,1,1,2,8,0.1991691609702559,3.2044888151779203,,soft_weighted_fit,0.36791510535561445,0.35933295871958093,0.3768329790259138,7.998447591153213
natops,1,1,3,8,2.9857216200771033,2.853768619094396,,soft_weighted_fit,0.3681342629260721,0.3427925950998497,0.3848017861442959,7.989189607538434
natops,1,2,0,8,-0.12472803024488971,3.7229515807711056,,soft_weighted_fit,0.3678874960756429,0.36331666660590756,0.37072010215789736,7.999650598343108
natops,1,2,1,8,0.6358442348894825,3.5613650577112184,,soft_weighted_fit,0.36795663645146215,0.3577324805034689,0.3814598964899521,7.996635700025656
natops,1,2,2,8,2.2104147952222473,3.2628284407927834,,soft_weighted_fit,0.3678937958258652,0.36412710280886734,0.3724099338401333,7.999374844633277
natops,1,2,3,8,1.071600603170148,3.1374271788575596,,soft_weighted_fit,0.3679818171440715,0.35489841297267793,0.38157066717310023,7.995557415030885
natops,1,3,0,8,0.8666836763548701,5.5515552595337905,,soft_weighted_fit,0.3680838974712042,0.3523312457674776,0.38366888307560876,7.99113602215287
natops,1,3,1,8,0.6595381847647819,5.190122141816204,,soft_weighted_fit,0.3678948851676672,0.35987357234181894,0.3711987540521285,7.999334660805715
natops,1,3,2,8,0.3082215927017101,5.659951445704815,,soft_weighted_fit,0.3680675771135189,0.3480107836473773,0.38252619378257,7.991929433414346
natops,1,3,3,8,0.3782925220005946,5.443792992478468,,soft_weighted_fit,0.3679282892563227,0.3615823678658036,0.3755911287061794,7.997873959256125
natops,1,4,0,8,0.16860734398824007,5.5392778531031865,,soft_weighted_fit,0.3680064119755497,0.3582445915651028,0.38425897541750476,7.994406636159875
natops,1,4,1,8,0.5781129782054254,5.201372092565393,,soft_weighted_fit,0.368794638254515,0.3247417676644856,0.38710569854023186,7.96250272211849
natops,1,4,2,8,0.48910183339944746,5.30459588039013,,soft_weighted_fit,0.36794344592826167,0.3555612022388256,0.37621314895272046,7.997235233345276
natops,1,4,3,8,0.8333842454178233,5.6624209184709215,,soft_weighted_fit,0.3681342950142885,0.34573138761507455,0.3903425094896924,7.988906908936189
natops,1,5,0,8,2.263090359487519,4.902410822182109,,soft_weighted_fit,0.3679103528507506,0.36123115983412163,0.3770651622487685,7.998651585988807
natops,1,5,1,8,2.7916580640797006,5.389351593903922,,soft_weighted_fit,0.36798401629780564,0.3541215485155875,0.3795330746260505,7.995499028350685
natops,1,5,2,8,1.2400131757563835,5.707639463858037,,soft_weighted_fit,0.36788904871257083,0.36378925185098493,0.3724813017987814,7.999582223784168
natops,1,5,3,8,2.404310571405978,5.405568880855812,,soft_weighted_fit,0.3679426504760803,0.3580646025035989,0.3758994175144084,7.997261442784963
