dataset,seed,stage,mode,within_prototype_compactness,between_prototype_separation,nearest_prototype_margin,temporal_assignment_stability,prototype_family_dispersion
natops,1,before,prototype_memory,4.758645925542442,9.347560495450905,1.212169935540465,0.9893719806763287,8.7565885521043
natops,1,after_mean_centered,prototype_memory,4.743847863756827,9.367443346786432,1.2508716045478108,0.9893719806763287,8.7747485575916
natops,1,after_current_sigmoid_minimal,prototype_memory,4.758447032114631,9.391551852752043,1.2124085195632615,0.9893719806763287,8.794801272105799
natops,1,after_sigmoid_clip_tanh,prototype_memory,4.758446999488432,9.391551840248537,1.212408570118691,0.9893719806763287,8.794801258863961
natops,1,after_sigmoid_clip_tanh_local_median,prototype_memory,4.764288101610299,9.345440927375613,1.20892628894666,0.9893719806763287,8.755210304116575
natops,1,after_sigmoid_clip_tanh_scaled,prototype_memory,4.759684504269298,9.392647601880839,1.2125612817070095,0.9893719806763287,8.796293002073558
natops,1,after_sigmoid_clip_tanh_local_median_scaled,prototype_memory,4.768132674908314,9.335367005553762,1.2040474909415142,0.9893719806763287,8.746950130801673
natops,1,after_sigmoid_clip_tanh_scaled_iqr,prototype_memory,4.759967500077665,9.392799865168945,1.212662691030915,0.9893719806763287,8.796494233914194
natops,1,after_sigmoid_clip_tanh_local_median_scaled_iqr,prototype_memory,4.7685538778646475,9.33442560871708,1.2046102156915235,0.9893719806763287,8.746478917241731
natops,1,after_soft_weighted_fit_a2r,prototype_memory,4.768238391123519,9.33633570422813,1.2018510094850845,0.9893719806763287,8.747495155106627
