dataset,seed,arm,terminal,train_macro_f1,val_macro_f1,test_macro_f1,delta_vs_no_shaping,delta_vs_current_sigmoid_minimal
natops,1,baseline_0,dynamic_gru,1.0,0.9790849673202615,0.8286955114786415,0.0,0.010952792932770739
natops,1,mean_centered,dynamic_gru,1.0,0.9361111111111112,0.7836666189541989,-0.04502889252444264,-0.034076099591671904
natops,1,current_sigmoid_minimal,dynamic_gru,1.0,0.9790849673202615,0.8177427185458708,-0.010952792932770739,0.0
natops,1,sigmoid_clip_tanh,dynamic_gru,1.0,0.9790849673202615,0.8177427185458708,-0.010952792932770739,0.0
natops,1,sigmoid_clip_tanh_local_median,dynamic_gru,1.0,0.9583333333333334,0.7836666189541989,-0.04502889252444264,-0.034076099591671904
natops,1,sigmoid_clip_tanh_scaled,dynamic_gru,1.0,0.9790849673202615,0.8177427185458708,-0.010952792932770739,0.0
natops,1,sigmoid_clip_tanh_local_median_scaled,dynamic_gru,1.0,0.9361111111111112,0.7836666189541989,-0.04502889252444264,-0.034076099591671904
natops,1,sigmoid_clip_tanh_scaled_iqr,dynamic_gru,1.0,0.9790849673202615,0.8177427185458708,-0.010952792932770739,0.0
natops,1,sigmoid_clip_tanh_local_median_scaled_iqr,dynamic_gru,1.0,0.9790849673202615,0.8231285890549479,-0.00556692242369361,0.005385870509077129
natops,1,soft_weighted_fit_a2r,dynamic_gru,1.0,0.9361111111111112,0.7891310998285158,-0.0395644116501257,-0.02861161871735496
