epoch,p_lraes,p_zpia,reward_lraes,reward_zpia,aug_loss_lraes,aug_loss_zpia,margin_lraes,margin_zpia
1,0.5,0.5,0.4606337547302246,0.46164560317993164,0.49238547682762146,0.4928262233734131,-0.16769711673259735,-0.16243407130241394
2,0.49747046520287785,0.5025295347971221,0.5971201658248901,0.6002988815307617,0.3965415954589844,0.39610204100608826,0.5736057162284851,0.5785748362541199
3,0.49079111879591375,0.5092088812040862,0.6694128513336182,0.6745197772979736,0.33139699697494507,0.32893747091293335,1.1366925239562988,1.1545265913009644
4,0.4826393322674035,0.5173606677325966,0.7335788011550903,0.7372519969940186,0.2884211540222168,0.2859901189804077,1.5499944686889648,1.5681686401367188
5,0.48214080431771933,0.5178591956822807,0.7882122993469238,0.7895219326019287,0.23802118003368378,0.2369839996099472,1.7873294353485107,1.800801157951355
6,0.48779650619212445,0.5122034938078756,0.8357685804367065,0.8362728953361511,0.1949453353881836,0.19440917670726776,1.9836840629577637,1.9999189376831055
7,0.49263747653602397,0.5073625234639761,0.8718773722648621,0.8712834119796753,0.1540987491607666,0.15512233972549438,2.240297317504883,2.2374749183654785
8,0.4978036215193462,0.5021963784806538,0.9028891921043396,0.9007900953292847,0.11774927377700806,0.119693323969841,2.541050434112549,2.5276291370391846
9,0.5041487820785077,0.49585121792149234,0.9278138875961304,0.926036536693573,0.0899878442287445,0.09178391098976135,2.903609275817871,2.8859000205993652
10,0.5065173004706566,0.49348269952934354,0.9475178718566895,0.9463087320327759,0.06858842819929123,0.06981514394283295,3.2361457347869873,3.2218260765075684
11,0.5062813524882657,0.49371864751173433,0.9607735872268677,0.9593967199325562,0.0531901940703392,0.054487284272909164,3.475229024887085,3.4670791625976562
12,0.5065826269785029,0.49341737302149713,0.9653586149215698,0.9657444953918457,0.04793613776564598,0.047436200082302094,3.757774829864502,3.7572009563446045
13,0.5023266171017869,0.49767338289821317,0.9647893905639648,0.9630036354064941,0.04508957266807556,0.04697980731725693,3.8146133422851562,3.808175802230835
14,0.5056272219523462,0.4943727780476538,0.9801251888275146,0.979886531829834,0.027368590235710144,0.027677323669195175,4.249942779541016,4.242744445800781
15,0.5034102523376086,0.4965897476623914,0.9814362525939941,0.982013463973999,0.02757449820637703,0.027158891782164574,4.495574474334717,4.507371425628662
