dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,diffusionts_max_epochs,target_aug_ratio,timevqvae_vqvae_epochs,timevqvae_maskgit_epochs
handwriting,3,random_cov_state,success,,0.4038917991696072,0.4538730181652988,0.0499812189956916,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.325,20,0,0,3.6798796450020745,0.0003246335819973,,,,,,
handwriting,3,pca_cov_state,success,,0.4038917991696072,0.455852819182687,0.0519610200130798,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.3902777777777778,20,0,0,3.854209279059432,0.0003247473114739,6.0,0.9999999403953552,,,,
japanesevowels,1,random_cov_state,success,,0.9561456014766324,0.9866328147908892,0.0304872133142567,2160,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9813519813519817,13,0,0,4.882397269946523,2.4621617415920185,,,,,,
japanesevowels,1,pca_cov_state,success,,0.9561456014766324,0.9627034640761972,0.0065578625995649,2160,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9628334628334628,18,0,0,6.170161520014517,2.4622460803517026,10.0,0.6253258585929871,,,,
japanesevowels,2,random_cov_state,success,,0.9741476029508114,0.973509205873986,-0.0006383970768253,2160,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,7.5754323420114815,2.4439405190992347,,,,,,
japanesevowels,2,pca_cov_state,success,,0.9741476029508114,0.968010015945806,-0.0061375870050053,2160,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,7.4136254779296,2.444249333384867,10.0,0.6218569874763489,,,,
japanesevowels,3,random_cov_state,success,,0.9681596726696928,0.9917695653737476,0.0236098927040545,2160,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,7.74270077701658,2.444048555188742,,,,,,
japanesevowels,3,pca_cov_state,success,,0.9681596726696928,0.9798297053132424,0.0116700326435496,2160,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,8.385758319986053,2.4439538798602096,10.0,0.6222749352455139,,,,
natops,1,random_cov_state,success,,0.9373000436629222,0.9498025636352592,0.0125025199723368,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.972027972027972,30,0,0,4.858189814025536,2.911407129727777,,,,,,
natops,1,pca_cov_state,success,,0.9373000436629222,0.972152603731551,0.0348525600686288,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.972027972027972,28,0,0,5.06054295389913,2.9117163033934617,10.0,0.7684680223464966,,,,
