dataset,result_arm,wavelet_object_mode,algo,model,n,base_f1_mean,base_f1_std,act_f1_mean,act_f1_std,gain_mean,gain_std,gain_pos_rate,f1_gain_pct_mean,feedback_weight_mean,feedback_weight_std_mean,cA_transport_error_logeuc_mean,cDm_transport_error_logeuc_mean,dual_transport_error_logeuc_mean,cA_identity_bridge_error_mean,cDm_identity_bridge_error_mean,idwt_identity_recon_error_mean,cDm_energy_mean,aug_total_count_mean
atrialfibrillation,ca_only,ca_only,lraes,resnet1d,3,0.2557627557627557,0.08487318352198982,0.1798083170890188,0.03417428136869991,-0.0759544386737369,0.11465562077232781,0.3333333333333333,-21.017570393700773,0.8392613093647562,0.18208826260840885,0.009646052328178533,0.0,0.0,4.4272576567483875e-09,0.0,9.878588710114482e-10,0.028445920942769234,36.0
atrialfibrillation,dual_a_dm,dual_a_dm,lraes,resnet1d,3,0.16421568627450978,0.038049447784951014,0.2620845204178537,0.06084890576121871,0.09786883414334391,0.022803988564190834,1.0,59.57793930981469,0.8396080537894625,0.1869472434728678,0.009646052328178533,0.0969879808224579,0.05331701657531823,4.4272576567483875e-09,0.0,1.1737466471582807e-09,0.028445920942769234,36.0
handwriting,ca_only,ca_only,lraes,resnet1d,3,0.22888078430093858,0.016384271860583242,0.26108486305468886,0.030801691774964637,0.03220407875375027,0.038612349941199525,0.6666666666666666,14.654149540162548,0.5765147778283184,0.23925751929723416,0.0001116723170778,0.0,0.0,2.286551247180685e-08,0.0,4.970927061788786e-09,0.36245582000589477,360.0
handwriting,dual_a_dm,dual_a_dm,lraes,resnet1d,3,0.24325504074644066,0.019732537781632357,0.24199277902137206,0.03953774191086419,-0.0012622617250686332,0.049463039620162685,0.6666666666666666,0.20922160356349787,0.5751998125756573,0.24044281396293163,0.0001116723170778,0.0014161325070498,0.0007639024120638001,2.286551247180685e-08,0.0,6.080608328742081e-09,0.36245582000589477,360.0
natops,ca_only,ca_only,lraes,resnet1d,3,0.9071754589577586,0.000944070454029652,0.9128327473687028,0.01609702580145277,0.005657288410944099,0.015972738016070392,0.6666666666666666,0.6234905040936362,0.897125440951883,0.18817808539630257,5.7558945207529035,0.0,0.0,3.385786993168217e-08,0.0,4.6851967050623454e-09,0.009007379006939068,432.0
natops,dual_a_dm,dual_a_dm,lraes,resnet1d,3,0.8963657806797004,0.027970391235025514,0.8932141148037057,0.047189963125980956,-0.0031516658759946324,0.06820955855990181,0.3333333333333333,-0.21590637536257903,0.8901815806333886,0.18819365759568438,5.7558945207529035,5.860489926127535,5.808192223440219,3.385786993168217e-08,0.0,4.774142148665322e-09,0.009007379006939068,432.0
