dataset,seed,act_f1_ca_only,act_f1_dual_a_dm,base_f1_ca_only,base_f1_dual_a_dm,feedback_weight_mean_ca_only,feedback_weight_mean_dual_a_dm,gain_ca_only,gain_dual_a_dm,dual_minus_ca_only_act_f1,dual_minus_ca_only_gain
atrialfibrillation,1,0.199074074074074,0.199074074074074,0.2649572649572649,0.125,0.8428505108864219,0.8337317951575474,-0.0658831908831908,0.074074074074074,0.0,0.1399572649572648
atrialfibrillation,2,0.2,0.3205128205128205,0.1666666666666666,0.2009803921568627,0.8103695345612673,0.81947969995715,0.0333333333333333,0.1195324283559577,0.12051282051282047,0.0861990950226244
atrialfibrillation,3,0.1403508771929824,0.2666666666666666,0.3356643356643357,0.1666666666666666,0.8645638826465796,0.8656126662536904,-0.1953134584713532,0.1,0.12631578947368421,0.2953134584713532
handwriting,1,0.2681257033923865,0.1996318848127874,0.2100155489941941,0.2580081412533411,0.5864959779273098,0.583146172897735,0.0581101543981924,-0.0583762564405537,-0.0684938185795991,-0.1164864108387461
handwriting,2,0.2877565634093179,0.2779176832807084,0.2370798959683619,0.2509161953171489,0.5658100663684309,0.5766569904672603,0.0506766674409559,0.0270014879635595,-0.00983888012860945,-0.023675179477396398
handwriting,3,0.2273723223623622,0.2484287689706204,0.2395469079402597,0.220840785668832,0.5772382891892145,0.5657962743619768,-0.0121745855778975,0.0275879833017883,0.0210564466082582,0.0397625688796858
natops,1,0.8964788109552798,0.9381392317971924,0.9065101766571804,0.8654853412033727,0.8986968733976634,0.9016074734507128,-0.0100313657019006,0.0726538905938195,0.04166042084191257,0.0826852562957201
natops,2,0.9133594990757374,0.8440458824309376,0.908255976179048,0.9036120008357286,0.8908709147278893,0.8775538163542579,0.0051035228966894,-0.0595661184047909,-0.06931361664479985,-0.0646696413014803
natops,3,0.928659932075091,0.8974572301829874,0.9067602240370476,0.92,0.9018085347300964,0.8913834520951949,0.0218997080380435,-0.0225427698170125,-0.031202701892103613,-0.044442477855056
